id,naam
Id-ed3948e5-06f2-4f51-b4e9-d03a49e58b58,AfsluitmiddelType
Id-2947c88d-a634-ae90-069b-52a15d18d26e,Assemblagemethode
Id-78ad56bf-9a0e-401e-b50e-b226293f11c5,BekledinglaagType
Id-3a623dd2-4cfc-4a43-ac29-d0aff5476084,BekledingType
Id-cd08951c-db0d-4595-bb0d-e643e1a0e71a,Bekleding_materiaal
Id-ecbe0e11-3cdc-4661-903f-f9382b32a343,Bemonsteringsapparaat
Id-99648df7-a2af-480e-91a4-23c9b40cd590,Bemonsteringsmethode
Id-5f3bd02b-4aa2-4169-bbd7-0d490e76fc94,Bemonsteringssoort
Id-145d631e-4897-4e31-96bd-e8f6b411461e,BeschermdGebiedtype
Id-f4defb3c-55ec-4f8a-92f8-7eca1b000e13,Besturingswijze
Id-4bad6351-f670-4329-8504-e587267efd8f,Bevaarbaarheidsklassen
Id-ccf20137-a177-4493-aaec-76eab52c35c7,BevoegdGezagSoort
Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169,BiologischKenmerk
Id-d665b5f3-2cb2-4646-bf27-9eba5bbebe0c,Biotaxon
Id-7c54f678-99bc-418e-af41-3e2797d057a8,BodemlaagBodemkenmerken
Id-5e041a6f-9e94-454f-92e0-531e66729089,BodemlaagBodemkenmerkenGradatie
Id-770aa45a-bc47-411b-b2fc-53811ff6aece,BodemlaagBodemkenmerkenOorsprong
Id-454d53cc-a9e7-4e61-98ff-2cb016eed93d,BodemlaagBodemkenmerkenSpecificatie
Id-70d35254-d233-4a4c-9c3a-afe5a71b1983,BodemlaagType
Id-3aa60dac-a881-4856-9081-8e31da1da802,Bodemsoort
Id-00692618-daab-4d8e-834b-791ec1c0573e,BodemsoortMediaan
Id-df7ffd7c-192c-44f7-ae9f-0461d9266b30,CertificeringsCode
Id-09dbefa4-d5e1-4eb5-b23f-5cf743c27e01,ClassificatieCIW
Id-43f062ab-c3b1-4f11-9b68-acdee65c0966,ClassificatieKRWbiologischOW
Id-46ece453-1205-497b-9c18-eec450b44594,ClassificatieKRWchemischOW
Id-c68faff1-d01e-44d0-9922-cc0073626599,ClassificatieKRWGW
Id-6134f3bb-6048-431d-a130-01290d84172c,Compartiment
Id-2cae7f3d-b899-0a12-13c2-3a9b495a8d25,Conserveringsmethode
Id-47ba7bda-c89e-4074-aeb4-280bdaf71e32,DoelMeetLocatieType
Id-d9aa68c9-ed7b-2a8e-6ece-c40f8ffc5e0e,Duidingsklasse
Id-04f4f467-021b-4218-baa8-9742ed977c61,Eenheid
Id-38fc119f-fc60-4a51-aa01-883074054f1a,EUfonds
Id-c80eb645-3cb6-0020-491f-eb1db4222d17,Faalmechanisme
Id-f57aef38-200a-4adb-8819-dfa41e6ec6f1,Functies_van_adressen
Id-1776ca41-ef55-8b4c-31fe-fd088a197256,FysiekProces
Id-0110b3d2-35f3-4963-9fa5-1feeb829da84,Geslacht
Id-076ab1ab-5eca-4f2d-b1ad-2c3e25f6c0bf,GrindGehalte
Id-7169dd0a-813b-4cf1-86ab-9bbc52b113a4,Hoedanigheid
Id-a7665cd0-dd4a-56c1-9815-da6f4167f7cd,Hoofdtaak
Id-f86ca2de-7f54-8ab7-4aca-cb428a2a08a9,Instrumentcode
Id-5e0dc993-0f61-4f77-ad50-0eae24e8c8a6,Juistheidsoordeel
Id-327656eb-8b00-49e7-8ae7-e4e779ef4517,JuistheidsoordeelProcedure
Id-b1f980c4-24db-4940-a919-2265ba2391e7,J_of_N
Id-b82d2751-793d-415e-a359-c69a7984c22e,Kansverdeling
Id-4976eb23-abda-402c-ae02-b4a450c3fef5,KenmerkBodemlaag (alleen gebruiken in IM Metingen 14.X)
Id-fbc8d92e-cc0d-4199-a40f-84aaacd706ad,KenmerkMonstername (alleen gebruiken in IM Metingen 14.X)
Id-f3e5aa9c-f0de-446c-8a97-40044020ff75,Kleur
Id-4e55671b-cd29-4249-a18f-3579e52b3afa,Kleursterkte
Id-f677d293-2eef-4f24-b43e-4cfa66f30755,KRWMaatregelGebiedsniveau
Id-5bdce7c6-9c47-468a-acff-feee069ac027,KRWMaatregeltype
Id-9693935a-6f0c-4ea3-b8ae-533251790b4c,KRWMeetLocatietype
Id-9b17958f-6d56-4269-abf1-f6764c3002de,KRWSleutelTypeMaatregel
Id-2d184731-d4d6-465d-9e88-d8c5c490f922,KRWStatus
Id-296418ab-6171-4420-a1ee-463fd0a9700e,KRWStroomgebieden
Id-d35653bf-3d84-4bca-bc2d-afa455810553,KRWWaterlichaamCategorie
Id-a02053a8-9132-40e4-bb71-7b271f1dabc9,KRWWatertype
Id-a700d147-94f4-4297-9a97-9ef3b895858e,Kunstwerktype
Id-1e17d9e6-4e0e-4f88-8fe5-c71f6a7931db,Kwaliteitsoordeel
Id-5c6ab373-693e-4039-af8d-93206ce4ebb4,LabopdrachtStatus
Id-7f793bd5-5aa3-4888-af25-f29b4e14364d,LeggerStatus
Id-736ed719-e3e1-29aa-1ba1-34c57dbc29fa,LimietsymboolReferentie
Id-5178f400-2d80-4944-929b-4a5c7af47eef,LocatietypeWaardeBepaling
Id-d1f53ea1-6ef2-4043-972b-f7201928a541,MateriaalMonsterVerpakking
Id-c76ca933-fe5e-4ecf-8081-3d1e3222214b,Materialen_voor_kunstwerken
Id-99852959-74fc-4e31-b8e9-1924aaca424c,Materialen_voor_leidingen
Id-2ac5258f-40d5-47f1-aed6-747b7dabd293,Meetapparaat
Id-4e270f0a-cefe-446e-9d4d-6666c91180a8,Meetinstantie
Id-1598f000-a066-42f3-ac92-b0e9d6b61d55,MeetObjectSoort
Id-6ccd9ac8-9bc6-47c5-9e6b-d22a89191975,Monsterbewerkingsmethode
Id-9f956093-baad-4adb-b74d-20c00cef6ab4,MonsterType
Id-c7a2ff02-1c42-4a70-a827-ff3ece80db93,MonsterVerpakking
Id-f49d8eb7-7c1c-4a2f-93df-39c2e2ec15d9,MonsterVoorbehandeling
Id-a66e6bd1-75b4-4353-a6d4-6b9f63b2490f,Normgroep
Id-34c93527-88ef-4960-ab2e-5b20532b8db3,Normkader
Id-c22138bb-efa5-450c-bb91-16618b10ff35,NormRelatieRol
Id-8713f370-47cc-4e40-a578-3a31b2bf8149,NoseCodetype
Id-0256a893-68f5-41e1-aac8-fc8cfa746382,ObjectStatus
Id-7f977051-57d9-4394-bb61-c82eeb2e11a3,OeverType
Id-cb304841-afd8-496b-bb86-037d13105860,OliewaterReactieMate
Id-db636443-cd50-4ba4-b39a-bbff303b3887,Onderzoekssoort
Id-f4dc18f2-ff91-bf3c-b778-41436c486934,OordeelStatus
Id-ca406d81-a119-4c19-b357-574615c333e3,Orgaan
Id-7000e590-d5ca-417d-b591-486427d4234a,OrganischeStofGehalte
Id-83c8e232-c3a5-4478-b846-ebfa52e28f65,OvergangsconstructieType
Id-0eafa483-2875-4c94-890d-66258a6b4d88,Parameter
Id-380ad3b9-0e01-413f-bbcc-c2f2de4615a3,PeilgebiedStatus
Id-d7f06fc3-aa6d-338a-0e2a-b6e621e88013,PrimerTargetGen
Id-0adbc71c-ca47-46d8-8dd3-ed5c5fad2b16,Processen_RWZI
Id-36cb1440-5c65-4071-b679-421921cdf2d9,Processen_SVI
Id-b4590e57-d8ca-4137-aeb8-a6c31b154b07,Processen_transportstelsel
Id-b5e57c65-2cfb-13b4-af3d-846e2b65b9e6,Productlijn
Id-c5365dd5-b3c4-402f-9505-443654854c26,ProfielKenmerkType
Id-2cc50de0-b55c-46ef-8c52-23ed588b479f,ProfielOrientatie
Id-293da789-f0d5-41d7-a0eb-4287e45ea6c4,Projectfase
Id-88f4a68e-3092-4d30-a3b9-0e851cced5a4,ReferentielijnType
