Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Bepaling faalkans per faalmechanisme o.b.v. slechtste doorsnede of vak,9,BOI-1A-2,Bepaling faalkans per faalmechanisme o.b.v. slechtste doorsnede of vak,,2025-11-26,
Bepaling faalkans per faalmechanisme o.b.v. onafhankelijke vakken,8,BOI-1A-1,Bepaling faalkans per faalmechanisme o.b.v. onafhankelijke vakken,,2025-11-26,
Faalkans van vak naar doorsnede,7,BOI-0D-2,Faalkans van vak naar doorsnede,,2022-07-05,
Faalkans van doorsnede naar vak,6,BOI-0D-1,Faalkans van doorsnede naar vak,,2022-07-05,
Bepalen faalkans uit duidingsklasse,5,BOI-0C-2,Bepalen faalkans uit duidingsklasse,,2022-07-05,
Bepalen duidingsklasse met analysestatus,4,BOI-0C-1,Bepalen duidingsklasse met analysestatus,,2022-07-05,
Bepalen duidingsklasse met vakfaalkans,3,BOI-0B-1,Bepalen duidingsklasse met vakfaalkans,,2022-07-05,
Bepalen representatieve vakfaalkans met lengte-effect,2,BOI-0A-2,Bepalen representatieve vakfaalkans met lengte-effect,,2022-07-05,
Handmatige invoer assemblageresultaat,16,HANDMATIG,Handmatige invoer assemblageresultaat,,2022-07-05,
Gecombineerde duidingsklasse per deelvak,15,BOI-3C-1,Gecombineerde duidingsklasse per deelvak,,2022-07-05,
Duidingsklasse faalmechanisme per deelvak,14,BOI-3B-1,Duidingsklasse faalmechanisme per deelvak,,2022-07-05,
Grootste gemene deelvakken voor alle faalmechanismen,13,BOI-3A-1,Grootste gemene deelvakken voor alle faalmechanismen,,2022-07-05,
Bepaling veiligheidsoordeel,12,BOI-2B-1,Bepaling veiligheidsoordeel,,2022-07-05,
Bepaling faalkans per dijktraject,11,BOI-2A-1,Bepaling faalkans per dijktraject,,2022-07-05,
Bepalen duidingsklasse met faalkans faalmechanisme,10,BOI-1B-1,Bepalen duidingsklasse met faalkans faalmechanisme,,2022-07-05,
Bepalen representatieve vakfaalkans,1,BOI-0A-1,Bepalen representatieve vakfaalkans,,2022-07-05,
