Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Breuksteen gepenetreerd met asfalt (patroonpenetratie),9,9,Breuksteen gepenetreerd met asfalt (patroonpenetratie),Toplaag,2016-03-12,breuksteen-asfalt
"Baksteen/betonsteen, gepenetreerd met asfalt (vol en zat)",8,8,"Baksteen/betonsteen, gepenetreerd met asfalt (vol en zat)",Toplaag,2016-03-12,
"Breuksteen, gepenetreerd met asfalt (vol en zat)",7,7,"Breuksteen, gepenetreerd met asfalt (vol en zat)",Toplaag,2016-03-12,breuksteen-asfalt
Zandasfalt (tijdelijk of in onderlaag),6,6,Zandasfalt (tijdelijk of in onderlaag),Toplaag,2016-03-12,zandasfalt
Open steenasfalt,5,5,Open steenasfalt,Toplaag,2016-03-12,open steenasfalt
Veen,45,45,Veen,Basismateriaal,2016-03-12,veen
Klei,44,44,Klei,Basismateriaal,2016-03-12,klei
Weefsel,43,43,Weefsel,Geotextiel,2016-03-12,weefsel
Vlies,42,42,Vlies,Geotextiel,2016-03-12,vlies
Mijnsteen,41,41,Mijnsteen,Uitvullaag of Filter/Vlijlaag,2016-03-12,mijnsteen
Puin,40,40,Puin,Uitvullaag of Filter/Vlijlaag,2016-03-12,puin
"Open prefab steenasfaltmatten evt. met wapening, op geotextiel",4,4,"Open prefab steenasfaltmatten evt. met wapening, op geotextiel",Toplaag,2016-03-12,
Grind,39,39,Grind,Uitvullaag of Filter/Vlijlaag,2016-03-12,grind
Zandasfalt,38,38,Zandasfalt,Uitvullaag of Filter/Vlijlaag,2016-03-12,zandasfalt
Zand,37,37,Zand,Uitvullaag of Filter/Vlijlaag,2016-03-12,zand
Gebakken steen,36,36,Gebakken steen,Uitvullaag of Filter/Vlijlaag,2016-03-12,
Fijn granulair materiaal c.q. breuksteen verpakt in geotextiel,35,35,Fijn granulair materiaal c.q. breuksteen verpakt in geotextiel,Toplaag,2016-03-12,granulaat
Blokkenmatten zonder openingen met of zonder geotextiel,34,34,Blokkenmatten zonder openingen met of zonder geotextiel,Toplaag,2016-03-12,
"Bak-/betonsteen, gepenetreerd met asfalt (vol+zat)/basalt+asfalt",33,33,"Bak-/betonsteen, gepenetreerd met asfalt (vol+zat)/basalt+asfalt",Toplaag,2016-03-12,
Hoogovenslakken,32,32,Hoogovenslakken,Toplaag,2016-03-12,
Koperslak,31,31,Koperslak,Toplaag,2016-03-12,koperslakblok
Kruidenvegetatie,30,30,Kruidenvegetatie,Toplaag,2016-03-12,vegetatie
Dicht steenasfalt,3,3,Dicht steenasfalt,Toplaag,2016-03-12,dicht steenasfalt
Gezette natuursteen,29,29,Gezette natuursteen,Toplaag,2016-03-12,steen
Gezette polygoonvormige betonzuilen,28,28,Gezette polygoonvormige betonzuilen,Toplaag,2016-03-12,betonzuil
Gezette basalt,27,27,Gezette basalt,Toplaag,2016-03-12,basaltzuil
Breuksteen (stortsteen),26,26,Breuksteen (stortsteen),Toplaag,2016-03-12,breuksteen
Fijn granulair materiaal danwel zand/grind verpakt in gaas,25,25,Fijn granulair materiaal danwel zand/grind verpakt in gaas,Toplaag,2016-03-12,
Grof granulair materiaal danwel breuksteen verpakt in gaas,24,24,Grof granulair materiaal danwel breuksteen verpakt in gaas,Toplaag,2016-03-12,
Bestorting van grof grind en andere granulaire materialen,23,23,Bestorting van grof grind en andere granulaire materialen,Toplaag,2016-03-12,granulaat
Graszoden en graszaad/zoden in kunststofmatten,22,22,Graszoden en graszaad/zoden in kunststofmatten,Toplaag,2016-03-12,
Gezaaid gras,21,21,Gezaaid gras,Toplaag,2016-03-12,gras
"Breuksteen, gepenetreerd met cement- of colloïdaal beton (patroonpenetratie)",20,20,"Breuksteen, gepenetreerd met cement- of colloïdaal beton (patroonpenetratie)",Toplaag,2016-03-12,breuksteen
Mastiek,2,2,Mastiek,Toplaag,2016-03-12,mastiek
"Breuksteen, gepenetreerd met cement- of colloïdaal beton (vol en zat)",19,19,"Breuksteen, gepenetreerd met cement- of colloïdaal beton (vol en zat)",Toplaag,2016-03-12,breuksteen
Grasbetontegels,18,18,Grasbetontegels,Toplaag,2016-03-12,betonblok
Betonnen doorgroeistenen,17,17,Betonnen doorgroeistenen,Toplaag,2016-03-12,doorgroeisteen
Betonplaten (prefab),16,16,Betonplaten (prefab),Toplaag,2016-03-12,
Colloïdaal beton (open structuur),15,15,Colloïdaal beton (open structuur),Toplaag,2016-03-12,colloïdaal beton
Betonplaten van cementbeton of gesloten colloïdaal beton,14,14,Betonplaten van cementbeton of gesloten colloïdaal beton,Toplaag,2016-03-12,
Blokkenmatten zonder openingen als drager materiaal,13,13,Blokkenmatten zonder openingen als drager materiaal,Toplaag,2016-03-12,
"Open blokkenmatten, afgestrooid met granulair materiaal",12,12,"Open blokkenmatten, afgestrooid met granulair materiaal",Toplaag,2016-03-12,
Betonblokken zonder openingen,11,11,Betonblokken zonder openingen,Toplaag,2016-03-12,betonblok
Betonblokken met afgeschuinde hoeken met gaten erin,10,10,Betonblokken met afgeschuinde hoeken met gaten erin,Toplaag,2016-03-12,
Asfaltbeton,1,1,Asfaltbeton,Toplaag,2016-03-12,waterbouwasfaltbeton
