Pagina,Id,Code,Omschrijving,Groep,Titel,Begin geldigheid,Gerelateerd
onbekend,999,99,onbekend,onbekend,onbekend,2020-02-28,
Eigen methode,998,EIGENMETHODE,Eigen methode,Voorschrift,Eigen methode,2021-06-18,
HH-W7A:2014 Bemonstering van fytoplankton in opp.water,964,HH-W7A:2014,HH-W7A:2014 Bemonstering van fytoplankton in opp.water,Voorschrift water,Handboek Hydrobiologie - Werkvoorschrift 7A (2014) - Bemonstering van fytoplankton in oppervlaktewater,2024-06-28,
NPR 8066:2010 nl,963,NPR8066.10,NPR 8066:2010 nl,Norm water,Water - Monsterneming stilstaand afvalwater,2015-08-06,
Leidraad voor passive sampling 2012,962,LEIDDPS:2012,Leidraad voor passive sampling 2012,Voorschrift water,Leidraad voor de passive sampling van hydrofobe stoffen in water met siliconenrubber samplers,2014-11-08,
NEN-EN-ISO 5667-3:2012 en,961,I5667-3.12,NEN-EN-ISO 5667-3:2012 en,Norm water,Water - Monsterneming - Deel 3: Richtlijn voor de conservering en behandeling van watermonsters,2014-11-08,
CMA/1/A.14 september 2020,396,CMA1A14.20,CMA/1/A.14 september 2020,Norm bodem/water,Afvalstoffen – grondstoffen. Algemene richtlijnen monsterneming,2021-07-21,
NEN 6600-1:2019 nl,395,N6600-1.19,NEN 6600-1:2019 nl,Norm water,Water - Monsterneming - Deel 1: Afvalwater,2021-02-05,
RIVM Blauwalgenprotocol 2020,394,RIVM-P20-107,RIVM Blauwalgenprotocol 2020,Norm water,Water - Blauwalgenprotocol 2020,2021-02-05,
SIKB Protocol 2003 v6 1-2-2018,393,SIKB-P2003v6,SIKB Protocol 2003 v6 1-2-2018,Norm water,"BRL 2000 Veldwerk milieuhygiënisch bodem- en waterbodemonderzoek (certificatie), protocol 2003, Veldwerk bij milieuhygiënisch waterbodemonderzoek. Versie 6.0, 1 februari 2018",2021-02-05,
"SIKB Protocol 2002, 1-2-2018",392,SIKB-P2002v6,"SIKB Protocol 2002, 1-2-2018",Norm water,"BRL 2000 Veldwerk milieuhygiënisch bodem- en waterbodemonderzoek (certificatie), protocol 2002: Het nemen van grondwatermonsters, versie 6.0, 1 februari 2018",2020-02-28,
"SIKB Protocol 2002, 12-12-2013",391,SIKB-P2002v4,"SIKB Protocol 2002, 12-12-2013",Norm water,"BRL 2000 Veldwerk milieuhygiënisch bodem- en waterbodemonderzoek (certificatie), protocol 2002: Het nemen van grondwatermonsters, versie 4, 12 december 2013",2020-02-28,
NTA 8017:2016 nl,390,TA8017.16,NTA 8017:2016 nl,Norm water,Monsterneming van grondwater ten behoeve van de monitoring van grondwaterkwaliteit,2020-02-28,
NTA 8017:2008 nl,389,TA8017.08,NTA 8017:2008 nl,Norm vervallen,Monsterneming van grondwater ten behoeve van de monitoring van grondwaterkwaliteit,2020-02-28,
NEN 5745:1997 nl,388,N5745.97,NEN 5745:1997 nl,Norm vervallen,Bodem - Monsterneming van grondwater ten behoeve van de bepaling van vluchtige verbindingen,2020-02-28,
NEN 5744:2011/A1:2013 nl,387,N5744.11A113,NEN 5744:2011/A1:2013 nl,Norm bodem,Bodem - Monsterneming van grondwater. AANVULLING,2020-02-28,
NEN 5744:2011 nl,386,N5744.11,NEN 5744:2011 nl,Norm bodem,Bodem - Monsterneming van grondwater,2020-02-28,
NEN 5744:1991 nl,385,N5744.91,NEN 5744:1991 nl,Norm vervallen,"Bodem - Monsterneming van grondwater ten behoeve van de bepaling van metalen, anorganische verbindingen, matig-vluchtige organische verbindingen en fysisch-chemische eigenschappen",2020-02-28,
NEN 6600-2:2019 nl,384,N6600-2.19,NEN 6600-2:2019 nl,Norm water,Water - Monsterneming - Deel 2: Oppervlaktewater,2019-05-11,
NEN 6600-1:2009 nl,383,N6600-1.09,NEN 6600-1:2009 nl,Norm vervallen,Water - Monsterneming - Deel 1: Afvalwater,2016-06-08,
RWSV - 913.00.W010,382,RWSV-W010,RWSV - 913.00.W010,Voorschrift water,Rijkswaterstaat standaard voorschrift - Verrichten van zintuiglijke en meteorologische waarnemingen,2011-06-13,
RWSV - 913.00.W005,381,RWSV-W005,RWSV - 913.00.W005,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van zwevende stof in oppervlaktewater met behulp van een doorstroomcentrifuge,2011-06-13,
RWSV - 913.00.W003,380,RWSV-W003,RWSV - 913.00.W003,Voorschrift water,"Rijkswaterstaat standaard voorschrift - Monsterneming van zoet oppervlaktewater ten behoeve van de bepaling van chlorofyl, fytoplankton en zoöplankton",2011-06-13,
RWSV - 913.00.W002,379,RWSV-W002,RWSV - 913.00.W002,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van oppervlaktewater met behulp van een pompsysteem,2011-06-13,
RWSV - 913.00.W001,378,RWSV-W001,RWSV - 913.00.W001,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van oppervlaktewater met een emmer,2011-06-13,
RWSV - 913.00.B200,377,RWSV-B200,RWSV - 913.00.B200,Voorschrift water,"Rijkswaterstaat standaard voorschrift - Bemonstering van macrozoöbenthos en bodemchemie in het litoraal en sublitoraal in de mariene wateren; methode: Reineck boxcorer, Flushing sampler, steekbuis",2011-06-13,
RWSV - 913.00.B051,376,RWSV-B051,RWSV - 913.00.B051,Voorschrift water,"Rijkswaterstaat standaard voorschrift - Bemonstering van macrofauna en bodemchemie in het profundaal; veldapparaat: boxcorer, Ekman-Birge happer van Veen happer, werpkorf en steekbuis",2011-06-13,
RWSV - 913.00.B050,375,RWSV-B050,RWSV - 913.00.B050,Voorschrift water,Rijkswaterstaat standaard voorschrift - Bemonstering van macrofauna in het litoraal; methode: handnet en stenen,2011-06-13,
RWSV - 913.00.B007,374,RWSV-B007,RWSV - 913.00.B007,Voorschrift water,"Rijkswaterstaat standaard voorschrift - Monsterneming van (oever)vegetatie, steen en gebruik kunstmatig substraat ten behoeve van de bepaling van fytobenthos",2011-06-13,
RWSV - 913.00.B005,373,RWSV-B005,RWSV - 913.00.B005,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van macrofauna op kunstmatig substraat,2011-06-13,
RWSV - 913.00.B004b,372,RWSV-B004b,RWSV - 913.00.B004b,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van sediment en macrofauna met een Boxcorer,2011-06-13,
RWSV - 913.00.B002,371,RWSV-B002,RWSV - 913.00.B002,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van macrofauna op hard substraat,2011-06-13,
RWSV - 913.00.B001b,370,RWSV-B001b,RWSV - 913.00.B001b,Voorschrift water,Rijkswaterstaat standaard voorschrift - Monsterneming van zoetwatermosselen,2011-06-13,
