Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
VIb+zeevaartuigen,9,VIb+zeevaartuigen,VIb+zeevaartuigen,2011-08-30,
VIb,8,VIb,VIb,2011-08-30,
VIa+zeevaartuigen,7,VIa+zeevaartuigen,VIa+zeevaartuigen,2011-08-30,
VIa,6,VIa,VIa,2011-08-30,
IV,5,IV,IV,2011-08-30,
III,4,III,III,2011-08-30,
II,3,II,II,2011-08-30,
RD,20,RD,RD,2023-07-15,
I,2,I,I,2011-08-30,
RC,19,RC,RC,2023-07-15,
RB,18,RB,RB,2023-07-15,
RA,17,RA,RA,2023-07-15,
VII,16,VII,VII,2017-12-11,
Vb+zeevaartuigen,15,Vb+zeevaartuigen,Vb+zeevaartuigen,2011-08-30,
Vb,14,Vb,Vb,2011-08-30,
Va+zeevaartuigen,13,Va+zeevaartuigen,Va+zeevaartuigen,2011-08-30,
Va,12,Va,Va,2011-08-30,
VIc+zeevaartuigen,11,VIc+zeevaartuigen,VIc+zeevaartuigen,2011-08-30,
VIc,10,VIc,VIc,2011-08-30,
0,1,0,0,2011-08-30,
