Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
keramiek,99,keramiek,keramiek,2018-05-02,
keien,98,keien,keien,2018-05-02,
kalksteen,97,kalksteen,kalksteen,2018-05-02,
ijzerzandsteen,96,ijzerzandsteen,ijzerzandsteen,2018-05-02,
ijzer,95,ijzer,ijzer,2018-05-02,ijzer
houtskool,94,houtskool,houtskool,2018-05-02,
houten vloer,93,houten vloer,houten vloer,2018-05-02,
gyttja,92,gyttja,gyttja,2018-05-02,
gravel,91,gravel,gravel,2018-05-02,
goethietzand,90,goethietzand,goethietzand,2018-05-02,
gley,89,gley,gley,2018-05-02,
glauconiet,88,glauconiet,glauconiet,2018-05-02,
gips,87,gips,gips,2018-05-02,
gestabiliseerd zand,86,gestabiliseerd zand,gestabiliseerd zand,2018-05-02,
fosfaat,80,fosfaat,fosfaat,2018-05-02,fosfaat
slib,8,slib,slib,2018-05-02,slib
erts,78,erts,erts,2018-05-02,
detritus,71,detritus,detritus,2018-05-02,detritus
coproliet,62,coproliet,coproliet,2018-05-02,
oer,6,oer,oer,2018-05-02,
bruinkool,58,bruinkool,bruinkool,2018-05-02,bruinkool
brekerzand,57,brekerzand,brekerzand,2018-05-02,
bot,56,bot,bot,2018-05-02,
bitumen,54,bitumen,bitumen,2018-05-02,bitumen
bewerkt steen,53,bewerkt steen,bewerkt steen,2018-05-02,
beton,52,beton,beton,2018-05-02,beton
basaltasfalt,51,basaltasfalt,basaltasfalt,2018-05-02,
ballast,50,ballast,ballast,2018-05-02,
hout,5,hout,hout,2018-05-02,
baksteen,49,baksteen,baksteen,2018-05-02,
afval,47,afval,afval,2018-05-02,afval
aardewerk,46,aardewerk,aardewerk,2018-05-02,
keileem,45,keileem,keileem,2018-05-02,keileem
asbest,44,asbest,asbest,2018-05-02,asbest
mijnsteen,43,mijnsteen,mijnsteen,2018-05-02,mijnsteen
grind,42,grind,grind,2018-05-02,grind
sintels,40,sintels,sintels,2018-05-02,
planten,4,planten,planten,2018-05-02,vegetatie
vulkanische as,39,vulkanische as,vulkanische as,2018-05-02,
breccie,38,breccie,breccie,2018-05-02,
conglomeraat,37,conglomeraat,conglomeraat,2018-05-02,
moddersteen,36,moddersteen,moddersteen,2018-05-02,
siltsteen,35,siltsteen,siltsteen,2018-05-02,
siltig zand,34,siltig zand,siltig zand,2018-05-02,
rotsbodem,33,rotsbodem,rotsbodem,2018-05-02,
vullaag,32,vullaag,vullaag,2018-05-02,
schelpen,3,schelpen,schelpen,2018-05-02,
leembrokken,28,leembrokken,leembrokken,2018-05-02,
steenkool,267,steenkool,steenkool,2025-11-19,
silt,266,silt,silt,2025-11-19,
rioolslib,265,rioolslib,rioolslib,2025-11-19,
metaalslak,264,metaalslak,metaalslak,2025-11-19,
menggranulaat,263,menggranulaat,menggranulaat,2025-11-19,
lava,262,lava,lava,2025-11-19,
geotextiel,261,geotextiel,geotextiel,2025-11-19,
bodemas,260,bodemas,bodemas,2025-11-19,
bentoniet,259,bentoniet,bentoniet,2025-11-19,
artefact,258,artefact,artefact,2025-11-19,
geëxpandeerd polystyreen (piepschuim),257,geëxpandeerd polystyreen (piepschuim),geëxpandeerd polystyreen (piepschuim),2021-12-10,geëxpandeerd polystyreen (piepschuim)
Bims,256,Bims,Bims,2021-12-02,
Zandcement,255,Zandcement,Zandcement,2021-12-02,
flugsand,254,flugsand,flugsand,2019-02-06,flugsand
Asbestverdacht materiaal,253,Materiaal dat op basis van een visuele beoordeling als mogelijk asbesthoudend is beoordeeld,Asbestverdacht materiaal,2018-05-02,
Vormzand,252,"Bouwstof: aangemengd zand, om ermee te vormen.",Vormzand,2019-04-19,
Kattenklei,251,"Kattenklei is de algemene naam voor veelal kleiige afzettingen (soms ook venig) waarin veel zwavelzuur voorkomt en vaak grote hoeveelheden ijzer, aluminium en zware metalen, waardoor de grond slecht geschikt is voor landbouw. Ze zijn vooral goed herkenbaar aan de gele jarosiet-vlekken, maar ook ijzervlekken komen veelvuldig voor.",Kattenklei,2018-05-02,
Kunststofvezels,250,Kunststofvezels,Kunststofvezels,2018-05-02,
olie,24,olie,olie,2018-05-02,
teer,23,teer,teer,2018-05-02,teer
gebakkenstraatstenen,228,gebakkenstraatstenen,gebakkenstraatstenen,2018-05-02,
glas,22,glas,glas,2018-05-02,
plastic,21,plastic,plastic,2018-05-02,
metaal,20,metaal,metaal,2018-05-02,
veenbrokjes,2,veenbrokjes,veenbrokjes,2018-05-02,
verf,19,verf,verf,2018-05-02,
rubber,180,rubber,rubber,2018-05-02,
zinkassen,174,zinkassen,zinkassen,2018-05-02,
zandsteen,173,zandsteen,zandsteen,2018-05-02,
zand,171,zand,zand,2018-05-02,zand
wortels,170,wortels,wortels,2018-05-02,
kalk,17,kalk,kalk,2018-05-02,
vliegas,164,vliegas,vliegas,2018-05-02,
verbrande klei,162,verbrande klei,verbrande klei,2018-05-02,
verbrand bot,161,verbrand bot,verbrand bot,2018-05-02,
veen,160,veen,veen,2018-05-02,veen
puin,16,puin,puin,2018-05-02,puin
vast gesteente,159,vast gesteente,vast gesteente,2018-05-02,
turf,158,turf,turf,2018-05-02,
textiel,157,textiel,textiel,2018-05-02,
tegel,156,tegel,tegel,2018-05-02,
teelaarde,155,teelaarde,teelaarde,2018-05-02,
stol,153,stol,stol,2018-05-02,
stelcon,152,stelcon,stelcon,2018-05-02,
stenen,15,stenen,stenen,2018-05-02,steen
split,147,split,split,2018-05-02,
