Pagina,Id,Omschrijving,Groep,Waarde,Begin geldigheid,Gerelateerd
gedesintegreerd asfalt,85,gedesintegreerd asfalt,Asfalt,gedesintegreerd asfalt,2018-05-02,
GAB 0/32,84,GAB 0/32,Asfalt,grindasfaltbeton 0/32,2018-05-02,
GAB 0/16-0/32,83,GAB 0/16-0/32,Asfalt,grindasfaltbeton 0/16-0/32,2018-05-02,
GAB 0/16,82,GAB 0/16,Asfalt,grindasfaltbeton 0/16,2018-05-02,
GAB,81,GAB,Asfalt,grindasfaltbeton,2018-05-02,
fijn asfalt,79,fijn asfalt,Asfalt,fijn asfalt,2018-05-02,
EAB 0/8,77,EAB 0/8,Asfalt,emulsie-asfaltbeton 0/8,2018-05-02,
EAB 0/6,76,EAB 0/6,Asfalt,emulsie-asfaltbeton 0/6,2018-05-02,
EAB 0/3,75,EAB 0/3,Asfalt,emulsie-asfaltbeton 0/3,2018-05-02,
EAB,74,EAB,Asfalt,emulsie-asfaltbeton,2018-05-02,
dunne deklaag,72,dunne deklaag,Asfalt,dunne deklaag,2018-05-02,
DAB 0/8-0/11,70,DAB 0/8-0/11,Asfalt,dicht asfaltbeton 0/8-0/11,2018-05-02,
DAB 0/8,69,DAB 0/8,Asfalt,dicht asfaltbeton 0/8,2018-05-02,
DAB 0/6-0/8,68,DAB 0/6-0/8,Asfalt,dicht asfaltbeton 0/6-0/8,2018-05-02,
DAB 0/6,67,DAB 0/6,Asfalt,dicht asfaltbeton 0/6,2018-05-02,
DAB 0/16,66,DAB 0/16,Asfalt,dicht asfaltbeton 0/16,2018-05-02,
DAB 0/11-0/16,65,DAB 0/11-0/16,Asfalt,dicht asfaltbeton 0/11-0/16,2018-05-02,
DAB 0/11,64,DAB 0/11,Asfalt,dicht asfaltbeton 0/11,2018-05-02,
DAB,63,DAB,Asfalt,dicht asfaltbeton,2018-05-02,
combi deklaag 0/8,61,combi deklaag 0/8,Asfalt,combi deklaag 0/8,2018-05-02,
combi deklaag 0/16,60,combi deklaag 0/16,Asfalt,combi deklaag 0/16,2018-05-02,
