Pagina,Id,Omschrijving,Groep,Waarde,Begin geldigheid,Gerelateerd
Ks4 (Klei uiterst siltig),9,Ks4 (Klei uiterst siltig),NEN-omschrijving,Ks4,2018-05-02,
Ks3 (Klei sterk siltig),8,Ks3 (Klei sterk siltig),NEN-omschrijving,Ks3,2018-05-02,
Ks2 (Klei matig siltig),7,Ks2 (Klei matig siltig),NEN-omschrijving,Ks2,2018-05-02,
"Gz3 (Grind sterk zandig), 50% grind",67,"Gz3 (Grind sterk zandig), 50% grind",NEN6693,Gz3_50,2025-11-25,
"Gs (Grind siltig), 50% grind",66,"Gs (Grind siltig), 50% grind",NEN6693,Gs_50,2025-11-25,
Gkn (Grind met keien),65,Gkn (Grind met keien),NEN6693,Gkn,2025-11-25,
Gks (Grind met keitjes),64,Gks (Grind met keitjes),NEN6693,Gks,2025-11-25,
Gk (Grind kleiig),63,Gk (Grind kleiig),NEN6693,Gk,2025-11-25,
GYz3 (Gyttja sterk zandig),62,GYz3 (Gyttja sterk zandig),NEN6693,GYz3,2025-11-25,
GYz1 (Gyttja zwak zandig),61,GYz1 (Gyttja zwak zandig),NEN6693,GYz1,2025-11-25,
GYk3 (Gyttja sterk kleiig),60,GYk3 (Gyttja sterk kleiig),NEN6693,GYk3,2025-11-25,
Ks1 (Klei zwak siltig),6,Ks1 (Klei zwak siltig),NEN-omschrijving,Ks1,2018-05-02,
GYk1 (Gyttja zwak kleiig),59,GYk1 (Gyttja zwak kleiig),NEN6693,GYk1,2025-11-25,
GYm (Gyttja mineraalarm),58,GYm (Gyttja mineraalarm),NEN6693,Gym,2025-11-25,
DETz3 (Detrius sterk zandig),57,DETz3 (Detrius sterk zandig),NEN6693,DETz3,2025-11-25,
DETz1 (Detrius zwak zandig),56,DETz1 (Detrius zwak zandig),NEN6693,DETz1,2025-11-25,
DETk3 (Detrius sterk kleiig),55,DETk3 (Detrius sterk kleiig),NEN6693,DETk3,2025-11-25,
DETk1 (Detrius zwak kleiig),54,DETk1 (Detrius zwak kleiig),NEN6693,DETk1,2025-11-25,
DETm (Detrius mineraalarm),53,DETm (Detrius mineraalarm),NEN6693,DETm,2025-11-25,
Hz3 (Humus sterk zandig),52,Hz3 (Humus sterk zandig),NEN6693,Hz3,2025-11-25,
Hz1 (Humus zwak zandig),51,Hz1 (Humus zwak zandig),NEN6693,Hz1,2025-11-25,
Hk3 (Humus sterk kleiig),50,Hk3 (Humus sterk kleiig),NEN6693,Hk3,2025-11-25,
Zk (Zand kleiig),5,Zk (Zand kleiig),NEN-omschrijving,Zk,2018-05-02,
Hk1 (Humus zwak kleiig),49,Hk1 (Humus zwak kleiig),NEN6693,Hk1,2025-11-25,
Hm (Humus mineraalarm),48,Hm (Humus mineraalarm),NEN6693,Hm,2025-11-25,
Zg3 (Zand sterk grindig),47,Zg3 (Zand sterk grindig),NEN6693,Zg3,2025-11-25,
Zg2 (Zand matig grindig),46,Zg2 (Zand matig grindig),NEN6693,Zg2,2025-11-25,
Zg1 (Zand zwak grindig),45,Zg1 (Zand zwak grindig),NEN6693,Zg1,2025-11-25,
Zs4 (Zand uiterst siltig),4,Zs4 (Zand uiterst siltig),NEN-omschrijving,Zs4,2018-05-02,
SL (Slib),34,SL (Slib),SIKB0101,SL,2025-11-25,
SLz3 (Slib sterk zandig),33,SLz3 (Slib sterk zandig),SIKB0101,SLz3,2025-11-25,
SLz2 (Slib matig zandig),32,SLz2 (Slib matig zandig),SIKB0101,SLz2,2025-11-25,
SLz1 (Slib zwak zandig),31,SLz1 (Slib zwak zandig),SIKB0101,SLz1,2025-11-25,
SLs4 (Slib uiterst siltig),30,SLs4 (Slib uiterst siltig),SIKB0101,SLs4,2025-11-25,
Zs3 (Zand sterk siltig),3,Zs3 (Zand sterk siltig),NEN-omschrijving,Zs3,2018-05-02,
SLs3 (Slib sterk siltig),29,SLs3 (Slib sterk siltig),SIKB0101,SLs3,2025-11-25,
SLs2 (Slib matig siltig),28,SLs2 (Slib matig siltig),SIKB0101,SLs2,2025-11-25,
SLs1 (Slib zwak siltig),27,SLs1 (Slib zwak siltig),SIKB0101,SLs1,2025-11-25,
SLk3 (Slib sterk kleiig),26,SLk3 (Slib sterk kleiig),SIKB0101,SLk3,2025-11-25,
SLk1 (Slib zwak kleiig),25,SLk1 (Slib zwak kleiig),SIKB0101,SLk1,2025-11-25,
Gz4 (Grind uiterst zandig),24,Gz4 (Grind uiterst zandig),NEN-omschrijving,Gz4,2018-05-02,
"Gz3 (Grind sterk zandig), 30% grind",23,"Gz3 (Grind sterk zandig), 30% grind",NEN5104,Gz3_30,2025-11-25,
Gz2 (Grind matig zandig),22,Gz2 (Grind matig zandig),NEN5104/NEN6693,Gz2,2025-11-25,
Gz1 (Grind zwak zandig),21,Gz1 (Grind zwak zandig),NEN5104/NEN6693,Gz1,2025-11-25,
"Gs (Grind siltig), 30% grind",20,"Gs (Grind siltig), 30% grind",NEN5104,Gs_30,2025-11-25,
Zs2 (Zand matig siltig),2,Zs2 (Zand matig siltig),NEN-omschrijving,Zs2,2018-05-02,
Vz3 (Veen sterk zandig),19,Vz3 (Veen sterk zandig),NEN-omschrijving,Vz3,2018-05-02,
Vz1 (Veen zwak zandig),18,Vz1 (Veen zwak zandig),NEN-omschrijving,Vz1,2018-05-02,
Vk3 (Veen sterk kleiig),17,Vk3 (Veen sterk kleiig),NEN-omschrijving,Vk3,2018-05-02,
Vk1 (Veen zwak kleiig),16,Vk1 (Veen zwak kleiig),NEN-omschrijving,Vk1,2018-05-02,
Vm (Veen mineraalarm),15,Vm (Veen mineraalarm),NEN-omschrijving,Vm,2018-05-02,
Sz3 (Silt sterk zandig),14,Sz3 (Silt sterk zandig),NEN6693,Sz3,2025-11-25,
Sz1 (Silt zwak zandig),13,Sz1 (Silt zwak zandig),NEN6693,Sz1,2025-11-25,
Kz3 (Klei sterk zandig),12,Kz3 (Klei sterk zandig),NEN-omschrijving,Kz3,2018-05-02,
Kz2 (Klei matig zandig),11,Kz2 (Klei matig zandig),NEN-omschrijving,Kz2,2018-05-02,
Kz1 (Klei zwak zandig),10,Kz1 (Klei zwak zandig),NEN-omschrijving,Kz1,2018-05-02,
Zs1 (Zand zwak siltig),1,Zs1 (Zand zwak siltig),NEN-omschrijving,Zs1,2018-05-02,
