Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Luxemburg,9,Luxemburg,Luxemburg,AccreditatieOrganisatie,2015-11-19,
Brussels gewest,8,Brussels gewest,Brussels gewest,AccreditatieOrganisatie,2015-11-19,
Waals gewest,7,Waals gewest,Waals gewest,AccreditatieOrganisatie,2015-11-19,
Accreditatieschema 3xxx,5,AS3000,Accreditatieschema 3xxx,TypeAccreditatie,2015-11-19,
Openbare Vlaamse Afvalstoffenmaatschappij,4,OVAM,Openbare Vlaamse Afvalstoffenmaatschappij,AccreditatieOrganisatie,2015-11-19,
Accreditatie Programma 04,3,AP04,Accreditatie Programma 04,TypeAccreditatie,2015-11-19,
Raad voor Accreditatie,2,RvA,Raad voor Accreditatie,AccreditatieOrganisatie,2015-11-19,
Accreditatieschema 2xxx,13,AS2000,Accreditatieschema 2xxx,TypeAccreditatie,2021-06-18,
Comité français d'accréditation,12,COFRAC,Comité français d'accréditation,AccreditatieOrganisatie,2019-08-23,
Monitoring Certificering Schema (gebruikt in VK),11,MCERTS,Monitoring Certificering Schema (gebruikt in VK),TypeAccreditatie,2018-05-12,
"Departement Leefmilieu, Natuur en Energie",10,LNE,"Departement Leefmilieu, Natuur en Energie",AccreditatieOrganisatie,2015-11-19,
Niet,1,Niet,Niet,TypeAccreditatie,2015-11-19,
