Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
"breng op pH < 2 met H2SO4, en donker bewaren",8,pH<2-H2SO4-d,"breng op pH < 2 met H2SO4, en donker bewaren",,2021-12-11,
breng op pH < 2 met HCl,6,pH<2-HCl,breng op pH < 2 met HCl,,2021-12-11,
breng op pH 12 met NaOH,5,pH12-NaOH,breng op pH 12 met NaOH,,2021-12-11,
breng op pH < 2 met HNO3,4,pH<2-HNO3,breng op pH < 2 met HNO3,,2021-12-11,
breng op pH 3.5-4 met H3PO4 en voeg 1g CuSO4+5H2O toe,3,pH4-PO4CUSO4,breng op pH 3.5-4 met H3PO4 en voeg 1g CuSO4+5H2O toe,,2021-12-11,
breng op pH,2,pH<2-H2SO4,breng op pH<2 met H2SO4,,2021-12-11,
Invriezen bij -20 graden Celcius en donker bewaren.,16,Tmin20oC-d,Invriezen bij -20 graden Celcius en donker bewaren.,,2021-12-11,
breng op pH < 2 met H2SO4 en koel bewaren (T is 1-5 oC),15,k-pH<2-H2SO4,breng op pH < 2 met H2SO4 en koel bewaren (T is 1-5 oC),,2021-12-11,
koel (T is 1-5 oC) en donker bewaren,14,k-1-5oC-d,koel (T is 1-5 oC) en donker bewaren,,2021-12-11,
voeg 2ml 10% zinkacetaat toe en koel bewaren (T is 1-5 oC),13,k-2ml-Znactt,voeg 2ml 10% zinkacetaat toe en koel bewaren (T is 1-5 oC),,2021-12-11,
koel bewaren (temperatuur van 1-5 graden Celcius),12,k-1-5oC,koel bewaren (temperatuur van 1-5 graden Celcius),,2021-12-11,
"breng op pH < 2 met HNO3 waarin K2Cr2O7 0,05%",10,pH<2-NO3K2Cr,"breng op pH < 2 met HNO3 waarin K2Cr2O7 0,05%",,2021-12-11,
niet van toepassing,1,nvt,niet van toepassing,,2021-12-11,
