Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Niet dominant (geen overstromings-of faalkansschatting mogelijk),9,NDo,Niet dominant (geen overstromings-of faalkansschatting mogelijk),,2022-07-05,
Dominant (geen overstromings-of faalkansschatting mogelijk),8,Do,Dominant (geen overstromings-of faalkansschatting mogelijk),,2022-07-05,
Zeer ruim hoger dan omgevingswaarde,7,-III,Zeer ruim hoger dan omgevingswaarde,,2022-07-05,
Net hoger dan omgevingswaarde,6,-II,Net hoger dan omgevingswaarde,,2022-07-05,
Net lager of gelijk aan omgevingswaarde,5,-I,Net lager of gelijk aan omgevingswaarde,,2022-07-05,
Net lager of gelijk aan signaleringsparameter,4,0,Net lager of gelijk aan signaleringsparameter,,2022-07-05,
Lager dan signaleringsparameter,3,+I,Lager dan signaleringsparameter,,2022-07-05,
Ruim lager dan signaleringsparameter,2,+II,Ruim lager dan signaleringsparameter,,2022-07-05,
Niet relevant,11,NR,Niet relevant,,2022-07-05,
Nog geen oordeel,10,NGO,Nog geen oordeel,,2022-07-05,
Zeer ruim lager dan signaleringsparameter,1,+III,Zeer ruim lager dan signaleringsparameter,,2022-07-05,
