Pagina,Id,Code,Omschrijving,Groep,Omrekenfactor,Dimensie,Begin geldigheid,Gerelateerd
ohm,99,ohm,ohm,SI afgeleide eenheid,1,ML2/I2T3,2021-12-10,
Duitse graad,9,oD,Duitse graad,Overig,,,2011-06-10,duitse graad
volt,84,V,volt,SI afgeleide eenheid,1,L2M/T3I,2011-06-10,
siemens per meter,82,S/m,siemens per meter,SI afgeleide eenheid,1,T3I2/L3M,2011-06-10,
graad Celsius,8,oC,graad Celsius,SI afgeleide eenheid,1,O,2011-06-10,
nanogram per liter,79,ng/l,nanogram per liter,SI afgeleide eenheid,0.000000001,M/L3,2013-02-09,
nanogram per kilogram,77,ng/kg,nanogram per kilogram,SI afgeleide eenheid,1e-12,M/M,2013-03-16,
millivolt,75,mV,millivolt,SI afgeleide eenheid,0.001,L2M/T3I,2012-12-11,
millisiemens per meter,74,mS/m,millisiemens per meter,SI afgeleide eenheid,0.001,T3I2/L3M,2012-12-11,
mol per liter,72,mol/l,mol per liter,SI afgeleide eenheid,1000,N/L3,2021-12-10,
millimol per liter,69,mmol/l,millimol per liter,SI afgeleide eenheid,1,N/L3,2020-11-06,
millimol per kilogram,68,mmol/kg,millimol per kilogram,SI afgeleide eenheid,0.001,N/M,2012-12-11,
millimeter,66,mm,millimeter,SI afgeleide eenheid,0.001,L,2012-12-11,
milliliter per liter,65,ml/l,milliliter per liter,SI niet-SI-eenheid,0.001,L3/L3,2021-12-10,
milliliter per gram,64,ml/g,milliliter per gram,SI afgeleide eenheid,0.001,L3/M,2012-12-11,
milliliter,63,ml,milliliter,SI niet-SI-eenheid,1e-06,L3,2021-12-10,
milligram per kubieke meter,61,mg/m3,milligram per kubieke meter,SI afgeleide eenheid,0.000001,M/L3,2012-12-11,
milligram per liter,60,mg/l,milligram per liter,SI afgeleide eenheid,0.001,M/L3,2025-11-28,
milligram per kilogram,58,mg/kg,milligram per kilogram,SI afgeleide eenheid,1e-06,M/M,2025-11-28,
milliequivalent per liter,55,meq/l,milliequivalent per liter,Overig,,,2011-06-10,
kubieke meter,52,m3,kubieke meter,SI afgeleide eenheid,1,L3,2011-06-10,
vierkante meter,51,m2,vierkante meter,SI afgeleide eenheid,1,L2,2011-06-10,
liter,44,l,liter,SI niet-SI-eenheid,0.001,L3,2012-12-11,
newtonmeter,386,Nm,newtonmeter,SI afgeleide eenheid,1,ML2/T2,2026-01-07,
kilogram per kilowattuur,385,kg/kWh,kilogram per kilowattuur,SI afgeleide eenheid,2.777778e-07,MT2/L2M,2025-08-09,
mol per liter per bar,384,mol/l.bar,mol per liter per bar,SI niet-SI-eenheid,0.01,NT2/L2M,2025-07-26,
euro,383,euro,euro,Overig,,,2025-04-26,
wattuur per kubieke meter per kilometer,382,Wh/m3.km,wattuur per kubieke meter per kilometer,SI afgeleide eenheid,3.6,M/T2L2,2025-04-26,
kilowattuur per kubieke meter per kilometer,381,kWh/m3.km,kilowattuur per kubieke meter per kilometer,SI afgeleide eenheid,3600,M/T2L2,2025-04-26,
exemplaren per seconde,380,n/s,exemplaren per seconde,Aantal,1,X/T,2025-04-03,
kilogram per kubieke meter,38,kg/m3,kilogram per kubieke meter,SI afgeleide eenheid,1,M/L3,2011-06-10,
exemplaren per kilogram,379,n/kg,exemplaren per kilogram,Aantal,1,X/M,2024-08-30,
milligram per uur,378,mg/h,milligram per uur,SI afgeleide eenheid,2.77778e-10,M/T,2024-06-05,
gram per uur,376,g/h,gram per uur,SI afgeleide eenheid,2.77778e-07,M/T,2023-07-15,
euro per megawattuur,375,euro/MWh,euro per megawattuur,Overig,,,2023-03-22,
megawattuur,374,MWh,megawattuur,SI afgeleide eenheid,3.6e+09,L2M/T2,2023-03-22,
meter per dag,373,m/d,meter per dag,SI afgeleide eenheid,1.157407e-05,L/T,2022-08-03,
millimol per kilogram per uur,372,mmol/kg.h,millimol per kilogram per uur,SI afgeleide eenheid,2.78E-07,N/M/T,2022-05-19,
microbecquerel per liter,371,uBq/l,microbecquerel per liter,SI afgeleide eenheid,1e-04,/L3T,2022-04-12,
watt per vierkante meter,370,W/m2,watt per vierkante meter,SI afgeleide eenheid,1,L2M/T3L2,2022-02-12,
kilogram,37,kg,kilogram,SI grondeenheid,1,M,2011-06-10,
kilogram per kilometer,369,kg/km,kilogram per kilometer,SI afgeleide eenheid,0.001,M/L,2022-01-07,
exemplaren per dag,368,n/d,exemplaren per dag,Aantal,1.157407e-05,X/T,2022-01-07,
kubieke centimeter per kilogram,367,cm3/kg,kubieke centimeter per kilogram,SI afgeleide eenheid,1e-06,L3/M,2022-01-05,
kubieke micrometer per milliliter,366,um3/ml,kubieke micrometer per milliliter,SI afgeleide eenheid,1e-12,L3/L3,2021-04-23,
kubieke millimeter per kubieke meter,365,mm3/m3,kubieke millimeter per kubieke meter,SI afgeleide eenheid,1e-09,L3/L3,2021-04-23,
vierkante meter per gram,364,m2/g,vierkante meter per gram,SI afgeleide eenheid,1000,L2/M,2021-04-13,
deciliter,363,dl,deciliter,SI niet-SI-eenheid,1e-04,L3,2021-03-17,
kilojoule per kilogram,362,kJ/kg,kilojoule per kilogram,SI afgeleide eenheid,1000,L2M/MT2,2021-03-10,
megapascal per meter,361,Mpa/m,megapascal per meter,SI afgeleide eenheid,1e+06,M/T2,2020-11-25,
megapascal,360,Mpa,megapascal,SI afgeleide eenheid,1e+06,M/LT2,2020-11-25,
hectopascal,36,hPa,hectopascal,SI afgeleide eenheid,100,M/LT2,2011-06-10,
liter per seconde per vierkante meter,359,l/m2.s,liter per seconde per vierkante meter,SI afgeleide eenheid,0.001,L3/L2T,2020-11-25,
Franse graad,358,oF,Franse graad,Overig,,,2020-11-06,
rotatie per minuut,357,r/min,rotatie per minuut,Overig,,,2020-09-11,
rotatie,356,r,rotatie,Overig,,,2020-09-11,
liter per gram,355,l/g,liter per gram,SI afgeleide eenheid,1,L3/M,2020-08-28,
nanogram per kubieke meter,354,ng/m3,nanogram per kubieke meter,SI afgeleide eenheid,1e-12,M/L3,2020-07-01,
microliter,353,ul,microliter,SI niet-SI-eenheid,1e-09,L3,2021-12-10,
kubieke micrometer,352,um3,kubieke micrometer,SI afgeleide eenheid,1E-18,L3,2020-03-11,
picogram per milliliter,351,pg/ml,picogram per milliliter,SI niet-SI-eenheid,0.000000001,M/L3,2020-01-24,
picogram per vierkante centimeter,350,pg/cm2,picogram per vierkante centimeter,SI afgeleide eenheid,1E-11,M/L2,2020-01-24,
uur,35,h,uur,SI niet-SI-eenheid,3600,T,2020-11-06,
milliliter per minuut,349,ml/min,milliliter per minuut,SI niet-SI-eenheid,1.67E-08,L3/T,2020-01-24,
milliliter per kubieke meter,348,ml/m3,milliliter per kubieke meter,SI afgeleide eenheid,1e-06,L3/L3,2021-12-10,
milligram per vierkante centimeter,347,mg/cm2,milligram per vierkante centimeter,SI afgeleide eenheid,0.01,M/L2,2020-01-24,
microgram per milliliter,346,ug/ml,microgram per milliliter,SI afgeleide eenheid,0.001,M/L3,2020-01-24,
microgram per vierkante centimeter,345,ug/cm2,microgram per vierkante centimeter,SI afgeleide eenheid,0.00001,M/L2,2020-01-24,
hectoliter,344,hl,hectoliter,SI niet-SI-eenheid,0.1,L3,2020-01-24,
kilowattuur per dag,343,kWh/d,kilowattuur per dag,Overig,,,2020-01-17,
becquerel per liter,342,Bq/l,becquerel per liter,SI afgeleide eenheid,1000,/L3T,2019-02-22,
Krumbein phi,341,phi,Krumbein phi,SI afgeleide eenheid,,L,2018-08-08,
vierkante centimeter per kubieke centimeter,340,cm2/cm3,vierkante centimeter per kubieke centimeter,SI afgeleide eenheid,100,L2/L3,2021-12-10,
