Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Afschuiving van grasbekleding binnentalud,9,GABI,Afschuiving van grasbekleding binnentalud,,2022-07-05,
"Erosie van kruin en binnentalud, inclusief overgangsconstructies",8,GEKB,"Erosie van kruin en binnentalud, inclusief overgangsconstructies",,2022-07-05,
Afschuiving van grasbekleding buitentalud,7,GABU,Afschuiving van grasbekleding buitentalud,,2022-07-05,
"Erosie van grasbekleding buitentalud, inclusief overgangsconstructies",6,GEBU,"Erosie van grasbekleding buitentalud, inclusief overgangsconstructies",,2022-07-05,
Falen asfaltbekledingen door wateroverdruk,5,AWO,Falen asfaltbekledingen door wateroverdruk,,2022-07-05,
Falen asfaltbekleding door golfklappen,4,AGK,Falen asfaltbekleding door golfklappen,,2022-07-05,
"Micro-instabiliteit, inclusief opdrukken binnenbekleding",3,STMI,"Micro-instabiliteit, inclusief opdrukken binnenbekleding",,2022-07-05,
Piping,2,STPH,Piping,,2022-07-05,
Sterkte en stabiliteit puntconstructies,15,STKWp,Sterkte en stabiliteit puntconstructies,,2022-07-05,
Piping bij kunstwerk,14,PKW,Piping bij kunstwerk,,2022-07-05,
Betrouwbaarheid sluiting kunstwerk,13,BSKW,Betrouwbaarheid sluiting kunstwerk,,2022-07-05,
Hoogte kunstwerk,12,HTKW,Hoogte kunstwerk,,2022-07-05,
Duinafslag,11,DA,Duinafslag,,2022-07-05,
Instabiliteit steenzetting,10,ZST,Instabiliteit steenzetting,,2022-07-05,
"Binnenwaartse macro-instabiliteit, inclusief afschuiving binnenbekleding bij overslag",1,STBI,"Binnenwaartse macro-instabiliteit, inclusief afschuiving binnenbekleding bij overslag",,2022-07-05,
