Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Terreinen beheren,9,TN,Terreinen beheren,,2021-03-18,Terreinen beheren
Stuwen (fysiek proces),8,ST,Stuwen (fysiek proces),,2021-03-18,stuwen
Recreatief medegebruik,7,RM,Recreatief medegebruik,,2021-03-18,
Metingen (monitoren),6,ME,Metingen (monitoren),,2021-03-18,monitoren
Gebouwen beheren,5,GB,Gebouwen beheren,,2021-03-18,Gebouwbeheer en onderhoud
Ecologische verbindingen beheren,4,EC,Ecologische verbindingen beheren,,2021-03-18,ecologisch verbindingen beheren
Weg of water kruisen,33,WW,Weg of water kruisen,,2021-03-18,weg en/of water kruisen
Deelstroombehandelen,3,DB,Deelstroombehandelen,,2021-03-18,deelstroombehandelen
Biologisch zuiveren,2,BI,biologisch zuiveringsproces voor afvalwater,,2021-03-18,biologisch zuiveren
Watertoevoeren,15,WO,Watertoevoeren,,2021-03-18,watertoevoeren
Waterkeren,14,WK,Waterkeren,,2021-03-18,waterkeren
Waterafvoeren,13,WA,Waterafvoeren,,2021-03-18,waterafvoeren
Proces overstijgende voorzieningen beheren,12,OV,Proces overstijgende voorzieningen beheren,,2021-03-18,
Vis migreren,11,VM,Vis migreren,,2021-03-18,vis migreren
Transporteren oppervlaktewater,10,TO,Transporteren oppervlaktewater,,2021-03-18,transporteren afvalwater
Bemalen,1,BM,Bemalen,,2021-03-18,bemalen
