Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
uitgedrukt in bentazon-D7 equivalenten,999,BtznD7,uitgedrukt in bentazon-D7 equivalenten,HoedanigheidEquivalent,2025-09-26,
Uitgedrukt in broedparen,998,BROEDPRN,Uitgedrukt in broedparen,HoedanigheidEquivalent,2025-07-18,uitgedrukt in broedparen
diameter groter dan 1000 um / drooggewicht,997,Dg1000dg,diameter groter dan 1000 um / drooggewicht,KorrelgrootteFractie,2025-03-21,
na chemische oxidatie,996,nco,na chemische oxidatie,HoedanigheidOnterecht,2025-02-11,
uitgedrukt in bentazon-D6 equivalenten,995,BtznD6,uitgedrukt in bentazon-D6 equivalenten,HoedanigheidEquivalent,2024-08-29,
uitgedrukt in atrazine-D5 equivalenten,994,AtznD5,uitgedrukt in atrazine-D5 equivalenten,HoedanigheidEquivalent,2024-08-29,
koolwaterstoffractie C5-C13 / drooggewicht,993,C05C13dg,koolwaterstoffractie C5-C13 / drooggewicht,HoedanigheidCombinatie,2024-07-26,drooggewichtkoolwaterstoffractie
koolwaterstoffractie C5-13,992,C05C13,koolwaterstoffractie C5-13,KoolwaterstofFractie,2024-07-26,koolwaterstoffractie
koolwaterstoffractie C8-C35 / drooggewicht,991,C08C35dg,koolwaterstoffractie C8-C35 / drooggewicht,HoedanigheidCombinatie,2024-07-26,drooggewichtkoolwaterstoffractie
koolwaterstoffractie C8-C35,990,C08C35,koolwaterstoffractie C8-C35,KoolwaterstofFractie,2024-07-26,koolwaterstoffractie
koolwaterstoffractie C12-C22 / drooggewicht,99,C12C22dg,koolwaterstoffractie C12-C22 / drooggewicht,HoedanigheidCombinatie,2011-06-10,drooggewichtkoolwaterstoffractie
uitgedrukt in bromaat / opgeloste fractie,989,BrO3nf,uitgedrukt in bromaat / opgeloste fractie,HoedanigheidCombinatie,2024-06-25,
fractie kleiner dan 20 mm / drooggewicht,988,afk020dg,fractie kleiner dan 20 mm / drooggewicht,HoedanigheidCombinatie,2024-05-31,fractie kleiner dan 20 mm / drooggewicht
fractie kleiner dan 20 mm,987,afk020,fractie kleiner dan 20 mm,AsbestFractie,2024-05-31,fractie kleiner dan 20 mm
uitgedrukt in fotonen,986,Ftn,uitgedrukt in fotonen,HoedanigheidEquivalent,2024-06-05,
uitgedrukt in koolstof/mg chlofofyl-a/umol fotonen/m2/sec,985,CCHLFaFtn,uitgedrukt in koolstof/mg chlofofyl-a/umol fotonen/m2/sec,HoedanigheidEquivalent,2024-06-05,
uitgedrukt in koolstof / milligram chlorofyl-a,984,CCHLFa,uitgedrukt in koolstof / milligram chlorofyl-a,HoedanigheidEquivalent,2024-06-05,
Uitgedrukt in tributyltinacetaat equivalenten,983,TC4ySnactt,Uitgedrukt in tributyltinacetaat equivalenten,HoedanigheidEquivalent,2024-05-31,
Uitgedrukt in medroxyprogesteronacetaat equivalenten,982,Medxpgtract,Uitgedrukt in medroxyprogesteronacetaat equivalenten,HoedanigheidEquivalent,2024-05-31,
Uitgedrukt in perfluoroctaanzuur equivalenten,981,PFOA,Uitgedrukt in perfluoroctaanzuur equivalenten,HoedanigheidEquivalent,2024-05-31,
Uitgedrukt in nicardipine equivalenten,980,Nicdpn,Uitgedrukt in nicardipine equivalenten,HoedanigheidEquivalent,2024-05-31,
koolwaterstoffractie C12-C22,98,C12C22,koolwaterstoffractie C12-C22,KoolwaterstofFractie,2011-06-10,koolwaterstoffractie
uitgedrukt in kolonie vormende eenheden in 250 ml monster,978,KVE250ml,uitgedrukt in kolonie vormende eenheden in 250 ml monster,HoedanigheidOnterecht,2024-01-17,uitgedrukt in kolonie vormende eenheden in 250 ml monster
uitgedrukt in kolonie vormende eenheden in 50 ml monster,977,KVE50ml,uitgedrukt in kolonie vormende eenheden in 50 ml monster,HoedanigheidOnterecht,2024-01-17,kolonie vormende eenheden in 50 ml monster
na concentratie,976,ncc,na concentratie,HoedanigheidOnterecht,2023-04-27,
gebruikt voor analyse,975,gva,gebruikt voor analyse,HoedanigheidOnterecht,2023-04-27,
uitgedrukt in RNA-kopiën,974,RNAKPN,uitgedrukt in RNA-kopiën,HoedanigheidEquivalent,2023-04-27,
Bacterieisolaat,973,BACTRISLT,Bacterieisolaat,HoedanigheidFractieBasis,2023-04-27,bacterieisolaat
golffrequentie tussen 985 en 995 mHz,972,F099,golffrequentie tussen 985 en 995 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 975 en 985 mHz,971,F098,golffrequentie tussen 975 en 985 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 965 en 975 mHz,970,F097,golffrequentie tussen 965 en 975 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
koolwaterstoffractie C12-C20 / drooggewicht,97,C12C20dg,koolwaterstoffractie C12-C20 / drooggewicht,HoedanigheidCombinatie,2011-08-02,drooggewichtkoolwaterstoffractie
golffrequentie tussen 955 en 965 mHz,969,F096,golffrequentie tussen 955 en 965 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 945 en 955 mHz,968,F095,golffrequentie tussen 945 en 955 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 935 en 945 mHz,967,F094,golffrequentie tussen 935 en 945 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 925 en 935 mHz,966,F093,golffrequentie tussen 925 en 935 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 915 en 925 mHz,965,F092,golffrequentie tussen 915 en 925 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 905 en 915 mHz,964,F091,golffrequentie tussen 905 en 915 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
golffrequentie tussen 895 en 905 mHz,963,F090,golffrequentie tussen 895 en 905 mHz,GolffrequentieKlasse,2022-12-31,golffrequentie
