Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
verminderen emissie nutrienten landbouw,9,BR01,verminderen emissie nutrienten landbouw,Bronmaatregelen,2011-10-01,
overige beheersmaatregelen,8,BE08,overige beheersmaatregelen,Beheermaatregelen,2011-10-01,
waterbeheer 21e eeuw,71,WB21,waterbeheer 21e eeuw,Overige maatregelen,2014-06-28,
overige instrumentele maatregelen,70,S06,overige instrumentele maatregelen,Instrumentele maatregelen,2011-10-01,
beheren van grootschalige grondwaterverontreinigingen,7,BE07,beheren van grootschalige grondwaterverontreinigingen,Beheermaatregelen,2011-10-01,
financiele maatregelen,69,S05,financiele maatregelen,Instrumentele maatregelen,2011-10-01,
opstellen nieuw plan,68,S04,opstellen nieuw plan,Instrumentele maatregelen,2011-10-01,
aanpassen/introduceren (nieuwe) wetgeving,67,S03,aanpassen/introduceren (nieuwe) wetgeving,Instrumentele maatregelen,2011-10-01,
geven van voorlichting,66,S02,geven van voorlichting,Instrumentele maatregelen,2011-10-01,
uitvoeren onderzoek,65,S01,uitvoeren onderzoek,Instrumentele maatregelen,2011-10-01,
overige RO-maatregelen,64,RO09,overige RO-maatregelen,RO-maatregelen,2011-10-01,
stopzetten van kleine winningen (campings),63,RO08,stopzetten van kleine winningen (campings),RO-maatregelen,2011-10-01,
verminderen / verplaatsen van de grondwaterwinning,62,RO07,verminderen / verplaatsen van de grondwaterwinning,RO-maatregelen,2011-10-01,
mijden risicovolle functies in grondwaterbeschermingsgebieden,61,RO06,mijden risicovolle functies in grondwaterbeschermingsgebieden,RO-maatregelen,2011-10-01,
wijzigen stedelijke functie,60,RO05,wijzigen stedelijke functie,RO-maatregelen,2011-10-01,
aanpassen begroeiing langs water,6,BE06,aanpassen begroeiing langs water,Beheermaatregelen,2011-10-01,
wijzigen visserij,59,RO04,wijzigen visserij,RO-maatregelen,2011-10-01,
beperken scheepvaart,58,RO03,beperken scheepvaart,RO-maatregelen,2011-10-01,
beperken recreatie,57,RO02,beperken recreatie,RO-maatregelen,2011-10-01,
wijzigen landbouwfunctie,56,RO01,wijzigen landbouwfunctie,RO-maatregelen,2011-10-01,
overige inrichtingsmaatregelen,55,IN20,overige inrichtingsmaatregelen,Inrichtingsmaatregelen,2011-10-27,
aanleg zuiveringsmoeras,54,IN19,aanleg zuiveringsmoeras,Inrichtingsmaatregelen,2011-10-01,
aanleg speciale leefgebieden flora en fauna,53,IN18,aanleg speciale leefgebieden flora en fauna,Inrichtingsmaatregelen,2011-10-01,
aanleg speciale leefgebieden voor vis,52,IN17,aanleg speciale leefgebieden voor vis,Inrichtingsmaatregelen,2011-10-01,
verwijderen stuw,51,IN16,verwijderen stuw,Inrichtingsmaatregelen,2011-10-01,
vispasseerbaar maken kunstwerken,50,IN15,vispasseerbaar maken kunstwerken,Inrichtingsmaatregelen,2011-10-01,
verwijderen vervuilde bagger (m.u.v. eutrofe bagger),5,BE05,verwijderen vervuilde bagger (m.u.v. eutrofe bagger),Beheermaatregelen,2011-10-01,
aanpassen streefpeil,49,IN14,aanpassen streefpeil,Inrichtingsmaatregelen,2011-10-01,
verondiepen watergang/-systeem,48,IN13,verondiepen watergang/-systeem,Inrichtingsmaatregelen,2011-10-01,
verdiepen watergang/-systeem (overdimensioneren),47,IN12,verdiepen watergang/-systeem (overdimensioneren),Inrichtingsmaatregelen,2011-10-01,
aanleg nevengeul,46,IN11,aanleg nevengeul,Inrichtingsmaatregelen,2011-10-01,
verbreden watergang/-systeem : aansluiten wetland,45,IN10,verbreden watergang/-systeem : aansluiten wetland,Inrichtingsmaatregelen,2011-10-01,
verbreden watergang/-systeem langzaam stromend of stilstaand: NVO groter dan 10 m,44,IN09,verbreden watergang/-systeem langzaam stromend of stilstaand: NVO groter dan 10 m,Inrichtingsmaatregelen,2011-10-01,
verbreden watergang/-systeem langzaam stromend of stilstaand: NVO groter dan 3m en kleiner dan 10 m,43,IN08,verbreden watergang/-systeem langzaam stromend of stilstaand: NVO groter dan 3m en kleiner dan 10 m,Inrichtingsmaatregelen,2011-10-01,
verbreden watergang/-systeem langzaam stromend of stilstaand: NVO kleiner dan 3 m,42,IN07,verbreden watergang/-systeem langzaam stromend of stilstaand: NVO kleiner dan 3 m,Inrichtingsmaatregelen,2011-10-01,
"verbreden (snel) stromend water/ hermeanderen , NVO groter dan 10 m",41,IN06,"verbreden (snel) stromend water/ hermeanderen , NVO groter dan 10 m",Inrichtingsmaatregelen,2011-10-01,
