Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Grote ondiepe gebufferde plassen,9,M14,Grote ondiepe gebufferde plassen,zoet,2011-10-01,
Kleine ondiepe zure plassen (vennen),8,M13,Kleine ondiepe zure plassen (vennen),zoet,2011-10-01,
Kleine ondiepe zwak gebufferde plassen (vennen),7,M12,Kleine ondiepe zwak gebufferde plassen (vennen),zoet,2011-10-01,
Moerasbeek,66,R20,Moerasbeek,zoet,2018-12-12,
Doorstroommoeras,65,R19,Doorstroommoeras,zoet,2018-12-12,
Permanente langzaam stromende heuvelland bovenloop op zand,64,R4b,Permanente langzaam stromende heuvelland bovenloop op zand,zoet,2018-12-12,
Permanente langzaam stromende laagland bovenloop op zand,63,R4a,Permanente langzaam stromende laagland bovenloop op zand,zoet,2018-12-12,
Estuarium met matig getijverschil en met scheepvaart en of geen getijdestroming,62,O2b,Estuarium met matig getijverschil en met scheepvaart en of geen getijdestroming,zout,2018-12-12,
"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.",61,O2a,"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.",zout,2018-12-12,
Grote diepe gebufferde meren met verbinding met zee,60,M21b,Grote diepe gebufferde meren met verbinding met zee,zoet,2018-12-12,
Kleine ondiepe gebufferde plassen,6,M11,Kleine ondiepe gebufferde plassen,zoet,2011-10-01,
Grote diepe gebufferde meren zonder verbinding met zee,59,M21a,Grote diepe gebufferde meren zonder verbinding met zee,zoet,2018-12-12,
Langzaam stromende bovenloop op kalkhoudende bodem,58,R9,Langzaam stromende bovenloop op kalkhoudende bodem,zoet,2011-10-01,
Zoet getijdenwater (uitlopers rivier) op zand/klei,57,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,zoet,2011-10-01,
Langzaam stromende rivier/nevengeul op zand/klei,56,R7,Langzaam stromende rivier/nevengeul op zand/klei,zoet,2011-10-01,
Langzaam stromend riviertje op zand/klei,55,R6,Langzaam stromend riviertje op zand/klei,zoet,2011-10-01,
Langzaam stromende middenloop/benedenloop op zand,54,R5,Langzaam stromende middenloop/benedenloop op zand,zoet,2011-10-01,
Droogvallende langzaam stromende bovenloop op zand,52,R3,Droogvallende langzaam stromende bovenloop op zand,zoet,2011-10-01,
Permanente bron,51,R2,Permanente bron,zoet,2011-10-01,
Snelstromende middenloop/benedenloop op kalkhoudende bodem,50,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,zoet,2011-10-01,
Laagveen vaarten en kanalen,5,M10,Laagveen vaarten en kanalen,zoet,2011-10-01,
Snelstromende bovenloop op kalkhoudende bodem,49,R17,Snelstromende bovenloop op kalkhoudende bodem,zoet,2011-10-01,
Snelstromende rivier/nevengeul op zandbodem of grind,48,R16,Snelstromende rivier/nevengeul op zandbodem of grind,zoet,2011-10-01,
Snelstromend riviertje op kiezelhoudende bodem,47,R15,Snelstromend riviertje op kiezelhoudende bodem,zoet,2011-10-01,
Snelstromende middenloop/benedenloop op zand,46,R14,Snelstromende middenloop/benedenloop op zand,zoet,2011-10-01,
Snelstromende bovenloop op zand,45,R13,Snelstromende bovenloop op zand,zoet,2011-10-01,
Langzaam stromende middenloop/benedenloop op veenbodem,44,R12,Langzaam stromende middenloop/benedenloop op veenbodem,zoet,2011-10-01,
Langzaam stromende bovenloop op veenbodem,43,R11,Langzaam stromende bovenloop op veenbodem,zoet,2011-10-01,
Langzaam stromende middenloop op kalkhoudende bodem,42,R10,Langzaam stromende middenloop op kalkhoudende bodem,zoet,2011-10-01,
Droogvallende bron,41,R1,Droogvallende bron,zoet,2011-10-01,
Euhalien kustwater,4,K3,Euhalien kustwater,zout,2011-10-01,
Estuarium met beperkt getijverschil,39,O1,Estuarium met beperkt getijverschil,zout,2011-10-01,
Zwak gebufferde hoogveen sloten,38,M9,Zwak gebufferde hoogveen sloten,zoet,2011-10-01,
