Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Aandeel grind,9,AANDGD,Aandeel grind,immetingen,2016-02-27,
Laag kenmerk,8,LAAGKMK,Laag kenmerk,immetingen,2016-02-27,
Geur,7,GEUR,Geur,immetingen,2018-06-19,
Kleursterkte,6,KLEURSTE,Kleursterkte,immetingen,2016-02-27,
Bijkleur,5,BIJKR,Bijkleur,immetingen,2016-02-27,
Hoofdkleur,4,HOOFDKR,Hoofdkleur,immetingen,2016-02-27,
Bodemlaag bijzonderheden gradatie,3,BZBG,Bodemlaag bijzonderheden gradatie,immetingen,2016-02-27,
Boorgat diameter,22,BOORGDMTR,Boorgat diameter,immetingen,2018-06-19,
Bijmenging,21,BIJMGG,Bijmenging,immetingen,2016-02-27,
Bodemlaag bijzonderheden oorsprong,2,BZBO,Bodemlaag bijzonderheden oorsprong,immetingen,2016-02-27,
Bodemlaag bijzonderheden specificatie,19,BZBS,Bodemlaag bijzonderheden specificatie,immetingen,2016-02-27,
Drijflaag aanwezig,18,DRIJFLAWZG,Drijflaag aanwezig,immetingen,2016-02-27,
Oliewatermate,13,OLWTMTE,Oliewatermate,immetingen,2016-02-27,
Mediaan,12,MEDN,Mediaan,immetingen,2016-02-27,mediaan
Grondsoort,11,GRONDST,Grondsoort,immetingen,2016-02-27,grondsoort
Aandeel humus,10,AANDHMS,Aandeel humus,immetingen,2016-02-27,
Bodemlaag bijzonderheden,1,BZB,Bodemlaag bijzonderheden,immetingen,2016-02-27,
