Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
paars,9,paars,paars,2018-05-02,
blauw,8,blauw,blauw,2018-05-02,
groen,7,groen,groen,2018-05-02,
geel,6,geel,geel,2018-05-02,
oranje,5,oranje,oranje,2018-05-02,
rood,4,rood,rood,2018-05-02,
zwart,3,zwart,zwart,2018-05-02,
grijs,2,grijs,grijs,2018-05-02,
olijf,15,olijf,olijf,2025-09-03,
kleurloos,14,kleurloos,kleurloos,2018-05-02,
creme,13,creme,creme,2018-05-02,
beige,12,beige,beige,2018-05-02,
roestbruin,11,roestbruin,roestbruin,2018-05-02,
bruin,10,bruin,bruin,2018-05-02,
wit,1,wit,wit,2018-05-02,
