Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Hiaat waarde,99,99,Hiaat waarde,Afwijkend,2025-11-28,hiaat waarde
Waarde bepaald op onvolledige basis,98,98,Waarde bepaald op onvolledige basis,Afwijkend,2025-11-28,
Afwijkende waarde i.v.m. extreme situatie (calamiteit),91,91,Afwijkende waarde i.v.m. extreme situatie (calamiteit),Afwijkend,2016-12-07,
Afwijkende waarde na validatie goedgekeurd,90,90,Afwijkende waarde na validatie goedgekeurd,Normaal,2016-12-07,
Afwijkende waarde als gevolg van foutieve nulpunt,84,84,Afwijkende waarde als gevolg van foutieve nulpunt,Afwijkend,2016-12-07,
Afwijkende waarde als gevolg van buiten meetbereik,83,83,Afwijkende waarde als gevolg van buiten meetbereik,Normaal,2016-12-07,
Afgekeurde waarde op basis van waterbalans,82,82,Afgekeurde waarde op basis van waterbalans,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van controlemeting,81,81,Afgekeurde waarde op basis van controlemeting,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van trendbreuk,80,80,Afgekeurde waarde op basis van trendbreuk,Afwijkend,2016-12-07,
Afgekeurde waarde agv rapportage lager dan rapportagegrens,79,79,Afgekeurde waarde agv rapportage lager dan rapportagegrens,Afwijkend,2016-12-07,
Afgekeurde waarde opgeloste parameter is hoger dan totaal,78,78,Afgekeurde waarde opgeloste parameter is hoger dan totaal,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van correlatie tussen parameters,77,77,Afgekeurde waarde op basis van correlatie tussen parameters,Afwijkend,2016-12-07,
Afgekeurde waarde o.b.v. correlatie tussen meetlocaties,76,76,Afgekeurde waarde o.b.v. correlatie tussen meetlocaties,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van uitbijter,75,75,Afgekeurde waarde op basis van uitbijter,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van levendigheid,74,74,Afgekeurde waarde op basis van levendigheid,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van springerigheid,73,73,Afgekeurde waarde op basis van springerigheid,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van ionenbalans,72,72,Afgekeurde waarde op basis van ionenbalans,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van harde grenzen,71,71,Afgekeurde waarde op basis van harde grenzen,Afwijkend,2016-12-07,
Afgekeurde waarde op basis van trendgedrag,70,70,Afgekeurde waarde op basis van trendgedrag,Interpolatie,2016-12-07,
Waarde is verhoogde rapportagegrens,7,07,Waarde is verhoogde rapportagegrens,Detectiegrens,2011-06-11T00:00:00,
Gecorrigeerde waarde op basis van systematische fout,61,61,Gecorrigeerde waarde op basis van systematische fout,Interpolatie,2016-12-07,
Bepaald met nul waarde voor detectiegrens,6,06,Bepaald met nul waarde voor detectiegrens,Detectiegrens,2011-06-11T00:00:00,
"Gevlagde waarde, bepaald met nul waarde voor detectiegrens",56,56,"Gevlagde waarde, bepaald met nul waarde voor detectiegrens",Afwijkend,2014-08-21,
"Gevlagde waarde, bepaald met halve detectiegrens",55,55,"Gevlagde waarde, bepaald met halve detectiegrens",Afwijkend,2014-09-11T00:00:00,
Niet-plausibele waarde,50,50,Niet-plausibele waarde,Afwijkend,2025-11-28,niet-plausibele waarde
Bepaald met halve detectiegrens,5,05,Bepaald met halve detectiegrens,Detectiegrens,2011-06-11T00:00:00,
Bepaald met hele detectiegrens,4,04,Bepaald met hele detectiegrens,Detectiegrens,2011-06-11T00:00:00,
Waarde beïnvloedt door ruimtelijke activiteiten,30,30,Waarde beïnvloedt door ruimtelijke activiteiten,Afwijkend,2025-11-28,
Waarde heeft een grotere spreiding dan beschreven,3,03,Waarde heeft een grotere spreiding dan beschreven,Afwijkend,2011-06-11T00:00:00,
In ruimte en tijd geïnterpoleerde waarde,25,25,In ruimte en tijd geïnterpoleerde waarde,Interpolatie,2025-11-28,
In de tijd geïnterpoleerde waarde,20,20,In de tijd geïnterpoleerde waarde,Interpolatie,2025-11-28,
In de ruimte geïnterpoleerde waarde,10,10,In de ruimte geïnterpoleerde waarde,Interpolatie,2025-11-28,
Normale waarde,0,00,Normale waarde,Normaal,2011-06-11T00:00:00,
