Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Geexporteerd,9,Geexporteerd,2015-11-18,
Klaargezet,8,Klaargezet,2015-11-18,
Vervallen,7,Vervallen,2015-11-18,
Gefactureerd,6,Gefactureerd,2015-11-18,
Gerapporteerd,5,Gerapporteerd,2015-11-18,
Concept,4,Concept,2015-11-18,
In bewerking,3,In bewerking,2015-11-18,
Invoer compleet,2,Invoer compleet,2015-11-18,
Geimporteerd,14,Geimporteerd,2015-11-18,
Bevestigd,13,Bevestigd,2015-11-18,
Niet verwerkt,12,Niet verwerkt,2015-11-18,
Fout,11,Fout,2015-11-18,fout
Wachten op bevestiging,10,Wachten op bevestiging,2015-11-18,
Reservering,1,Reservering,2015-11-18,
