Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
koper,9,9,koper,9,2020-11-25,
grind,8,8,grind,8,2020-11-25,
gres,7,7,gres,7,2020-11-25,gres
gips,6,6,gips,6,2020-11-25,
gietijzer,5,5,gietijzer,5,2020-11-25,
beton,4,4,beton,4,2020-11-25,beton
asfalt,3,3,asfalt,3,2020-11-25,
polypropyleen,20,20,polypropyleen,20,2020-11-25,
asbestcement,2,2,asbestcement,2,2020-11-25,asbestcement
polyethyleen,19,19,polyethyleen,19,2020-11-25,
PVC,18,18,PVC,18,2020-11-25,
onbekend,17,99,onbekend,99,2020-11-25,
staal,16,16,staal,16,2020-11-25,
minerale wol,15,15,minerale wol,15,2020-11-25,
metselwerk,14,14,metselwerk,14,2020-11-25,
lood,13,13,lood,13,2020-11-25,
lebit,12,12,lebit,12,2020-11-25,
kurk,11,11,kurk,11,2020-11-25,
kunststof,10,10,kunststof,10,2020-11-25,
aluminium,1,1,aluminium,1,2020-11-25,aluminium
