Pagina,Id,Code,Omschrijving,Groep,Opgericht_in,Opgeheven_per,Begin geldigheid,Gerelateerd
Eurofins Duitsland,99,99,Eurofins Duitsland,,,,2020-05-05,
Stichting Naturalis Biodiversity Center,98,98,Stichting Naturalis Biodiversity Center,,1995-06-22,,2019-12-24,
"Herman van Dam, Adviseur Water en Natuur",97,97,"Herman van Dam, Adviseur Water en Natuur",,2006-05-15,,2019-12-24,
AGROLAB Iberica S.L.U. - Tarragona. ES,96,96,AGROLAB Iberica S.L.U. - Tarragona. ES,,2006-06-06,,2019-06-18,
AGROLAB Iberica S.L.U. - Burgos. ES,95,95,AGROLAB Iberica S.L.U. - Burgos. ES,,2018-06-06,,2019-06-18,
AGROLAB Austria GmbH - Meggenhofen. AT,94,94,AGROLAB Austria GmbH - Meggenhofen. AT,,2012-06-06,,2019-06-18,
AWV-Dr. Busse GmbH - Plauen. DE,93,93,AWV-Dr. Busse GmbH - Plauen. DE,,2001-06-06,,2019-06-18,
AGROLAB Agrar und Umwelt GmbH - Kiel. DE,92,92,AGROLAB Agrar und Umwelt GmbH - Kiel. DE,,2016-06-06,,2019-06-18,
AGROLAB Labor GmbH - Bruckberg. DE (hoofdvestiging),91,91,AGROLAB Labor GmbH - Bruckberg. DE (hoofdvestiging),,1986-06-06,,2019-06-18,
AGROLAB Italia S.R.L. - Altavilla Vicentina. IT,90,90,AGROLAB Italia S.R.L. - Altavilla Vicentina. IT,,2014-06-06,,2019-06-18,
Oranjewoud,9,17,Oranjewoud,,,,2011-10-06,
Vitens,89,89,Vitens,,2006-11-21,,2019-01-29,
NutriControl BV,88,88,NutriControl BV,,2000-01-13,,2018-10-26,
RIKILT onderdeel van de WUR,87,87,RIKILT onderdeel van de WUR,,1997-12-09,,2018-09-04,
Stg. Streeklaboratorium voor de Volksgezondheid Kennemerland,86,86,Stg. Streeklaboratorium voor de Volksgezondheid Kennemerland,,1997-04-04,,2018-08-03,
All Water Services,85,85,All Water Services,,1990-01-01,,2018-05-23,
Bureau Waardenburg,84,84,Bureau Waardenburg,,1995-01-27,,2018-02-23,
Rijksuniversiteit Groningen,83,83,Rijksuniversiteit Groningen,,1613-12-31,,2018-02-02,
Hybilab,82,82,Hybilab,,2017-01-02,,2018-01-30,
Diatomella,81,81,Diatomella,,2016-04-01,,2018-01-30,
Tempelman Ecologie,80,80,Tempelman Ecologie,,,,2017-12-01,
Daniel C. Griffith Holland,8,9,Daniel C. Griffith Holland,,,,2011-10-06,
ATKB,79,79,ATKB,,,,2017-12-01,
VU Amsterdam,78,78,VU Amsterdam,,,,2017-11-29,
Universiteit van Amsterdam,76,77,Universiteit van Amsterdam,,,,2017-02-18,
Veldflex,75,76,Veldflex,,,,2017-01-10,
Eurofins AquaSense,74,75,Eurofins AquaSense,,,,2017-01-10,
Heijdra Milieu Service,73,74,Heijdra Milieu Service,,,,2017-01-10,
Opure,72,73,Opure,,,,2017-01-10,
MasterLab,71,72,MasterLab,,,,2017-01-10,
Eurofins Omegam,70,71,Eurofins Omegam,,2014-09-30,,2016-04-20,
SGS Environmental Analytics,7,2,SGS Environmental Analytics,,,,2022-11-29,
Universiteit Leiden,69,70,Universiteit Leiden,,,,2016-03-12,
Van der Goes en Groot,68,69,Van der Goes en Groot,,,,2016-03-12,
BioDetection Systems b.v.,67,68,BioDetection Systems b.v.,,,,2016-01-28,
SGS België,66,67,SGS België,,,,2015-10-29,
Technologiezentrum Wasser,65,66,Technologiezentrum Wasser,,,,2015-08-06,
Laboratorium Wetterskip Fryslân,64,65,Laboratorium Wetterskip Fryslân,,,,2015-08-06,
WLN,63,64,WLN,,2016-09-26,,2019-07-09,
Laboratorium Waterschap Hunze en Aa's,62,63,Laboratorium Waterschap Hunze en Aa's,,,,2015-08-06,
Deltares,61,62,Deltares,,,,2015-04-09,deltares
KWR Nieuwegein,60,61,KWR Nieuwegein,,,,2015-03-25,
GCML,6,13,GCML,,,,2011-10-06,
Brachion-Idee,59,60,Brachion-Idee,,,,2015-01-17,
Sylphium molecular ecology,58,59,Sylphium molecular ecology,,,,2014-11-22,
Aqualysis,57,52,Aqualysis,,2014-01-01,,2014-01-04,
Normec - Ede NL,56,51,Normec - Ede NL,,,,2025-12-06,
Grontmij,55,50,Grontmij,,,,2013-10-10,
TNO laboratorium,54,49,TNO laboratorium,,,,2013-10-10,
RIVM laboratorium,53,48,RIVM laboratorium,,,,2013-10-10,
Rijkswaterstaat Laboratorium,52,47,Rijkswaterstaat Laboratorium,,,,2021-07-02,
Wageningen universiteit en onderzoeksinstituten,51,46,Wageningen universiteit en onderzoeksinstituten,,,,2013-02-28,
Triskelion,50,37,Triskelion,,,,2012-10-09,
SGS INTRON,49,19,SGS INTRON,,,,2011-10-06,
Laboratorium Zeeuws Vlaanderen,48,44,Laboratorium Zeeuws Vlaanderen,,,,2012-12-08,
Koeman en Bijkerk,47,22,Koeman en Bijkerk,,,,2011-10-06,
KBBL,46,41,KBBL,,,,2012-10-13,
Intertek-Geleen,45,35,Intertek-Geleen,,,,2012-07-25,
Incolab,44,40,Incolab,,,,2012-10-13,
Het Waterlaboratorium,43,45,Het Waterlaboratorium,,,,2012-12-08,
BLGG-AGRIQ,42,38,BLGG-AGRIQ,,,,2012-10-09,
Pro Analyse,4,18,Pro Analyse,,,,2011-10-06,
AQUON,36,5,AQUON,,,,2012-07-07,
Aqualab,35,39,Aqualab,,,,2012-10-13,
Heinrici milieulaboratorium,3,14,Heinrici milieulaboratorium,,,,2011-10-06,
Waterproef,28,36,Waterproef,,,,2012-09-06,
Servaco NV,27,57,Servaco NV,,,,2014-01-21,
Ecca NV,26,56,Ecca NV,,,,2014-01-21,
Search BV,25,55,Search BV,,,,2014-01-21,
Sanitas Milieu Services,24,54,Sanitas Milieu Services,,,,2014-01-21,
RPS,23,42,RPS,,,,2012-10-13,
Fibrecount,22,53,Fibrecount,,,,2014-01-21,
Envirocontrol,21,11,Envirocontrol,,,,2011-10-06,
IWACO milieulaboratorium,20,15,IWACO milieulaboratorium,,,,2011-10-06,
Biochem Het MilieuLab,2,6,Biochem Het MilieuLab,,,,2011-10-06,
SGS 's-Gravenpolder,19,43,SGS 's-Gravenpolder,,,,2012-10-13,
Plantentuin - Meise BE,184,184,Plantentuin - Meise BE,,,,2025-12-06,
Eurofins Built Environment Testing - Houston US,183,183,Eurofins Built Environment Testing - Houston US,,,,2025-12-06,
Eurofins Analytical Services - Bangalore IN,182,182,Eurofins Analytical Services - Bangalore IN,,,,2025-12-06,
