Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Ontvangende waterbodem,99,OW_T103b_BS,Ontvangende waterbodem,Bodemkwaliteit,2024-11-15,
Baggerspecie in oppervlaktewaterlichaam,98,OW_T103a_BS,Baggerspecie in oppervlaktewaterlichaam,Bodemkwaliteit,2024-11-15,
Ontvangende landbodem (OW),97,OW_T102_BS,Ontvangende landbodem (OW),Bodemkwaliteit,2024-11-15,
Baggerspecie in GBT landbodem,96,OW_T101B_BS,Baggerspecie in GBT landbodem,Bodemkwaliteit,2024-11-15,
Grond en bagger bij toepassen landbodem,95,OW_T101_BS,Grond en bagger bij toepassen landbodem,Bodemkwaliteit,2024-11-15,
KRW-doelen-2020,94,KRWDOEL_20,KRW-doelen-2020,Waterkwaliteit-regionaal,2020-11-25,
KRW-doelen-2014 (corr. 2013),93,KRWDOEL_14,KRW-doelen-2014 (corr. 2013),Waterkwaliteit-regionaal,2020-11-25,
KRW-doelen-2013,92,KRWDOEL_13,KRW-doelen-2013,Waterkwaliteit-regionaal,2020-11-25,
KRW-doelen-2012 (corr. 2009),91,KRWDOEL_12,KRW-doelen-2012 (corr. 2009),Waterkwaliteit-regionaal,2020-11-25,
KRW-doelen-2009,90,KRWDOEL_09,KRW-doelen-2009,Waterkwaliteit-regionaal,2020-11-25,
Baggerspecie bij GBT op landbodem (emissiewaarde),9,BBK_T09_BS,Baggerspecie bij GBT op landbodem (emissiewaarde),Bodemkwaliteit,2020-11-25,
KRW spec. verontr. stoffen SGBP 2022-2027 - zout,84,KRW20_SVS_A,KRW spec. verontr. stoffen SGBP 2022-2027 - zout,Waterkwaliteit-chemie,2020-11-25,
KRW spec. verontr. stoffen SGBP 2022-2027 - zoet,83,KRW20_SVS_L,KRW spec. verontr. stoffen SGBP 2022-2027 - zoet,Waterkwaliteit-chemie,2020-11-25,
KRW prioritaire stoffen SGBP 2022-2027 - zout,82,RPS13_A,KRW prioritaire stoffen SGBP 2022-2027 - zout,Waterkwaliteit-chemie,2020-11-25,
KRW prioritaire stoffen SGBP 2022-2027 - zoet,81,RPS13_L,KRW prioritaire stoffen SGBP 2022-2027 - zoet,Waterkwaliteit-chemie,2020-11-25,
Grond bij GBT op landbodem (emissiewaarde),8,BBK_T08_BS,Grond bij GBT op landbodem (emissiewaarde),Bodemkwaliteit,2020-11-25,
KRW-maatlatten-2018 - Vis,78,KRW18_VIS,KRW-maatlatten-2018 - Vis,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2012 - Vis,77,KRW12_VIS,KRW-maatlatten-2012 - Vis,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2018 - Macrofauna,76,KRW18_MAF,KRW-maatlatten-2018 - Macrofauna,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2012 - Macrofauna,75,KRW12_MAF,KRW-maatlatten-2012 - Macrofauna,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2018 - Overige waterflora,74,KRW18_OWF,KRW-maatlatten-2018 - Overige waterflora,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2012 - Overige waterflora,73,KRW12_OWF,KRW-maatlatten-2012 - Overige waterflora,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2018 - Fytoplankton,72,KRW18_FTP,KRW-maatlatten-2018 - Fytoplankton,Waterkwaliteit-biologie,2020-11-25,
KRW-maatlatten-2012 - Fytoplankton,71,KRW12_FTP,KRW-maatlatten-2012 - Fytoplankton,Waterkwaliteit-biologie,2020-11-25,
