Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Omgevingsverordening,9,OGVVOD,Omgevingsverordening,2016-03-08,
Provinciale verordening,8,PVCALV,Provinciale verordening,2016-03-08,
Waterwet,7,WTWT,Waterwet,2016-03-08,waterwet
concept-besluiten (divers),6,concept,concept-besluiten (divers),2012-09-06,
beleid (niet in regelgeving),5,beleid,beleid (niet in regelgeving),2013-07-02,
Zwemwaterrichtlijn 2006,4,ZWR2006,Zwemwaterrichtlijn 2006,2011-10-06,
Vierde nota waterhuishouding,3,NW4,Vierde nota waterhuishouding,2011-10-06,
Waterschapsverordening,21,WTSVOD,Waterschapsverordening,2025-12-03,
Omgevingswet,20,OW,Omgevingswet,2024-11-15,
Drinkwaterbesluit 2011,2,DWB2011,Drinkwaterbesluit 2011,2012-09-06,
Besluit stortplaatsen en stortverboden afvalstoffen,19,BSSA,Besluit stortplaatsen en stortverboden afvalstoffen,2020-10-07,
Besluit kwaliteitseisen en monitoring water 2009-versie 2021,18,BKMW2009:21,Besluit kwaliteitseisen en monitoring water 2009-versie 2021,2020-10-07,
Wet belastingen op milieugrondslag,17,WBM,Wet belastingen op milieugrondslag,2020-10-07,
Wet bodembescherming,16,WBB,Wet bodembescherming,2020-10-07,
Regeling beoordeling reinigbaarheid grond 2006,15,RBRG2006,Regeling beoordeling reinigbaarheid grond 2006,2020-10-07,
Besluit bodemkwaliteit,14,BBK,Besluit bodemkwaliteit,2020-10-07,
Besluit kwaliteitseisen en monitoring water 2009-versie 2015,13,BKMW2009:15,Besluit kwaliteitseisen en monitoring water 2009-versie 2015,2020-10-07,
Besluit kwaliteitseisen en monitoring water 2009-versie 2010,12,BKMW2009:10,Besluit kwaliteitseisen en monitoring water 2009-versie 2010,2020-10-07,
