Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
"Washing, degreasing and suint removing of wool",99,105.04.02,"Washing, degreasing and suint removing of wool",2011-11-11,
Textile finishing,98,105.04.01,Textile finishing,2011-11-11,
Characteristic processes in the manufacture of textiles and textile products,97,105.04,Characteristic processes in the manufacture of textiles and textile products,2011-11-11,
Fish processing,96,105.03.26,Fish processing,2011-11-11,
Meat processing:,95,105.03.25,Meat processing:,2011-11-11,
Rendering,94,105.03.24,Rendering,2011-11-11,
Slaughter houses,93,105.03.23,Slaughter houses,2011-11-11,
Dairy industry,92,105.03.22,Dairy industry,2011-11-11,
Other food industry processes based on vegetable products,91,105.03.21,Other food industry processes based on vegetable products,2011-11-11,
"Chicory, potatoes",90,105.03.20,"Chicory, potatoes",2011-11-11,
Other furnaces,9,104.01.01,Other furnaces,2011-11-11,
Industry of amyloid products.,89,105.03.19,Industry of amyloid products.,2011-11-11,
Yeast industry,88,105.03.18,Yeast industry,2011-11-11,
Canneries of vegetable origin products.,87,105.03.17,Canneries of vegetable origin products.,2011-11-11,
Sugar production from sugar beets Sugar refinery,86,105.03.16,Sugar production from sugar beets Sugar refinery,2011-11-11,
Mineral waters.,85,105.03.15,Mineral waters.,2011-11-11,
"Production of gaseous waters and beverages with fruits excepted nectars, including conditioning.",84,105.03.14,"Production of gaseous waters and beverages with fruits excepted nectars, including conditioning.",2011-11-11,
Production of tomatoe and red fruit juices,83,105.03.13,Production of tomatoe and red fruit juices,2011-11-11,
"Production of juices of stone fruits (apricots, peaches, plums, cherries)",82,105.03.12,"Production of juices of stone fruits (apricots, peaches, plums, cherries)",2011-11-11,
Production of grape juices,81,105.03.11,Production of grape juices,2011-11-11,
Production of juices of fruit for ciders and of ciders.,80,105.03.10,Production of juices of fruit for ciders and of ciders.,2011-11-11,
General-purpose manufacturing processes,8,104.01,General-purpose manufacturing processes,2011-11-11,
Beer industry,79,105.03.09,Beer industry,2011-11-11,
Alsace wine,78,105.03.08,Alsace wine,2011-11-11,
