Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Eivlies,9,EV,Eivlies,,2011-09-22,
Eierschaal,8,ES,Eierschaal,,2011-09-22,
Ellepijp,7,EP,Ellepijp,,2011-09-22,
Embryo,6,EO,Embryo,,2011-09-22,
Dooier,5,DR,Dooier,,2011-06-10,
Darm,4,DM,Darm,Orgaan,2011-06-10,
Restweefsel,35,RW,Restweefsel,,2023-02-14,
Bruinvlees,34,BV,Bruinvlees,,2016-01-09,bruinvlees (in krab)
Vleugel,33,Vl,Vleugel,,2011-06-10,
Vlees,32,VS,Vlees,,2011-06-10,
Vin,31,VN,Vin,,2011-06-10,
genetisch gemodificeerde T47D-cellijn,30,T4,genetisch gemodificeerde T47D-cellijn,,2011-06-10,t47d cellijn
Dierlijk weefsel,3,DI,Dierlijk weefsel,,2012-03-28,Dierlijk weefsel
Spierweefsel,29,SW,Spierweefsel,Orgaan,2011-06-10,
Staart,28,ST,Staart,,2011-06-10,
Schelp,27,SP,Schelp,,2011-06-10,
Snavel,26,SL,Snavel,,2011-06-10,
Struif,25,SF,Struif,,2011-09-22,
Scheenbeen,24,SB,Scheenbeen,,2011-09-22,
Penis,23,PS,Penis,Orgaan,2015-09-22,
Plasma,22,PA,Plasma,,2011-06-10,
Oog,21,OG,Oog,Orgaan,2011-06-10,
Opperarmbeen,20,OB,Opperarmbeen,,2011-09-22,
Dijbeen,2,DB,Dijbeen,,2011-09-22,
Nier,19,NR,Nier,Orgaan,2011-06-10,
Maag,18,MG,Maag,Orgaan,2011-06-10,
Lever,17,LR,Lever,Orgaan,2011-06-10,
Levercel,16,LC,Levercel,,2011-06-10,
Kop,15,KP,Kop,,2011-09-22,
Hart,14,HT,Hart,Orgaan,2011-06-10,
Hersenen,13,HN,Hersenen,Orgaan,2011-06-10,
Handwortelbeen,12,HB,Handwortelbeen,,2011-09-22,
Gal,11,GL,Gal,Orgaan,2011-06-10,
Filet,10,FT,Filet,,2011-06-10,
Bloed,1,BD,Bloed,,2011-06-10,
