Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
AQUON_014 - Cytochroom C oxidase subunit 1,9,AQ14_CytoxC1,AQUON_014 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_013 - 16S ribosomaal RNA gen,8,AQ13_16SrRNA,AQUON_013 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_012 - Cytochroom B,7,AQ12_CytB,AQUON_012 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_011 - Cytochroom C oxidase subunit 1,6,AQ11_CytoxC1,AQUON_011 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_068 - NADH dehydrogenase subunit 2,56,AQ68_NADHde2,AQUON_068 - NADH dehydrogenase subunit 2,,2025-08-29,NADH dehydrogenase subunit 2
AQUON_067 - Cytochroom C oxidase subunit 1,55,AQ67_CytoxC1,AQUON_067 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_066 - Cytochroom C oxidase subunit 1,54,AQ66_CytoxC1,AQUON_066 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_063 - Cytochroom C oxidase subunit 1,53,AQ63_CytoxC1,AQUON_063 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_062 - NADH dehydrogenase subunit 1,52,AQ62_NADHde1,AQUON_062 - NADH dehydrogenase subunit 1,,2025-08-29,NADH dehydrogenase subunit 1
AQUON_061 - Cytochroom C oxidase subunit 1,51,AQ61_CytoxC1,AQUON_061 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_060 - Cytochroom B,50,AQ60_CytB,AQUON_060 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_010 - Cytochroom C oxidase subunit 1,5,AQ10_CytoxC1,AQUON_010 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_058 - NADH dehydrogenase subunit 5,49,AQ58_NADHde5,AQUON_058 - NADH dehydrogenase subunit 5,,2025-08-29,NADH dehydrogenase subunit 5
AQUON_057 - Cytochroom C oxidase subunit 1,48,AQ57_CytoxC1,AQUON_057 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_056 - Cytochroom C oxidase subunit 1,47,AQ56_CytoxC1,AQUON_056 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_055 - Cytochroom B,46,AQ55_CytB,AQUON_055 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_054 - 16S ribosomaal RNA gen,45,AQ54_16SrRNA,AQUON_054 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_053 - Cytochroom C oxidase subunit 1,44,AQ53_CytoxC1,AQUON_053 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_052 - Cytochroom B,43,AQ52_CytB,AQUON_052 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_051 - NADH dehydrogenase subunit 1,42,AQ51_NADHde1,AQUON_051 - NADH dehydrogenase subunit 1,,2025-08-29,NADH dehydrogenase subunit 1
AQUON_050 - Cytochroom C oxidase subunit 1,41,AQ50_CytoxC1,AQUON_050 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_049 - Cytochroom C oxidase subunit 1,40,AQ49_CytoxC1,AQUON_049 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_009 - 16S ribosomaal RNA gen,4,AQ9_16SrRNA,AQUON_009 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_048 - 16S ribosomaal RNA gen,39,AQ48_16SrRNA,AQUON_048 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_047 - 23S ribosomaal RNA gen,38,AQ47_23SrRNA,AQUON_047 - 23S ribosomaal RNA gen,,2025-08-29,23S ribosomaal RNA gen
AQUON_046 - Cytochroom B,37,AQ46_CytB,AQUON_046 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_045 - Cytochroom C oxidase subunit 1,36,AQ45_CytoxC1,AQUON_045 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_044 - Cytochroom C oxidase subunit 1,35,AQ44_CytoxC1,AQUON_044 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_043 - Cytochroom C oxidase subunit 1,34,AQ43_CytoxC1,AQUON_043 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_042 - 16S ribosomaal RNA gen,33,AQ42_16SrRNA,AQUON_042 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_041 - NADH dehydrogenase subunit 1,32,AQ41_NADHde1,AQUON_041 - NADH dehydrogenase subunit 1,,2025-08-29,NADH dehydrogenase subunit 1
AQUON_040 - NADH dehydrogenase subunit 1,31,AQ40_NADHde1,AQUON_040 - NADH dehydrogenase subunit 1,,2025-08-29,NADH dehydrogenase subunit 1
AQUON_039 - Cytochroom C oxidase subunit 1,30,AQ39_CytoxC1,AQUON_039 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_008 - Cytochroom C oxidase subunit 1,3,AQ8_CytCox1,AQUON_008 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_038 - Cytochroom C oxidase subunit 1,29,AQ38_CytoxC1,AQUON_038 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
