Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
vacuümriolering,9,20,vacuümriolering,20,2011-10-25,vacuümriolering
verbeterd gescheiden stelsel: regenwaterriool,8,8,verbeterd gescheiden stelsel: regenwaterriool,8,2011-10-22,
verbeterd gescheiden stelsel: vuilwaterriool,7,7,verbeterd gescheiden stelsel: vuilwaterriool,7,2011-10-22,
"gemengd riool, niet centraal lozend",6,6,"gemengd riool, niet centraal lozend",6,2011-10-22,
overig gemengd riool,5,5,overig gemengd riool,5,2011-10-22,
"regenwaterriool, niet centraal lozend",4,4,"regenwaterriool, niet centraal lozend",4,2011-10-25,
"regenwaterriool, centraal lozend",3,3,"regenwaterriool, centraal lozend",3,2011-10-22,
"vuilwaterriool, niet centraal lozend",2,2,"vuilwaterriool, niet centraal lozend",2,2011-10-25,vuilwaterriool
vuilinsluitend stelsel,18,45,vuilinsluitend stelsel,45,2011-10-22,
absoluut stelsel,17,44,absoluut stelsel,44,2011-10-22,absoluut stelsel
verbeterd gescheiden stelsel,16,43,verbeterd gescheiden stelsel,43,2011-10-22,
gescheiden stelsel,15,42,gescheiden stelsel,42,2011-10-22,
verbeterd gemengd stelsel,14,41,verbeterd gemengd stelsel,41,2011-10-22,verbeterd gemengd stelsel
gemengd stelsel,13,40,gemengd stelsel,40,2011-10-22,
"gemengd riool, centr. loz., met andere bergingsvoorzieningen",12,23,"gemengd riool, centr. loz., met andere bergingsvoorzieningen",23,2011-10-22,
"gemengd riool, centr. loz., met bergbezinkbassin",11,22,"gemengd riool, centr. loz., met bergbezinkbassin",22,2011-10-22,
drukriolering,10,21,drukriolering,21,2011-10-25,
"vuilwaterriool, centraal lozend",1,1,"vuilwaterriool, centraal lozend",1,2011-10-22,vuilwaterriool
