Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Huurder,9,18,Huurder,PersoonOrganisatie,2016-04-15,
Gemeente,8,44,Gemeente,Organisatie,2016-04-15,gemeente
Veldwerkbureau,65,65,Veldwerkbureau,Organisatie,2018-10-26,
Adviesbureau,64,64,Adviesbureau,Organisatie,2018-10-26,
Omgevingsdienst/Uitvoeringsdienst,63,62,Omgevingsdienst/Uitvoeringsdienst,Organisatie,2016-06-30,
Onbekend,62,99,Onbekend,PersoonOrganisatie,2016-05-28,
Pachter van deel,61,37,Pachter van deel,PersoonOrganisatie,2016-05-28,
Huurder van een deel,60,36,Huurder van een deel,PersoonOrganisatie,2016-05-28,
Gebruiker,6,42,Gebruiker,PersoonOrganisatie,2016-04-15,gebruiker
Houder van het recht van woning,59,35,Houder van het recht van woning,PersoonOrganisatie,2016-05-28,
Eigenaar in beklemrechterlijke zin,58,34,Eigenaar in beklemrechterlijke zin,PersoonOrganisatie,2016-05-28,eigenaar in beklemrechterlijke zin
Leidinggevende,57,33,Leidinggevende,Persoon,2016-05-28,
Analist,56,32,Analist,Persoon,2016-05-28,
Medewerker,55,30,Medewerker,Persoon,2016-05-28,medewerker
Meetinstantie,54,29,Meetinstantie,PersoonOrganisatie,2016-05-28,
Fiatteerder,53,28,Fiatteerder,PersoonOrganisatie,2016-05-28,
Bedrijfsleider,52,27,Bedrijfsleider,Persoon,2016-05-28,
Vergunningverkrijger,51,26,Vergunningverkrijger,PersoonOrganisatie,2016-05-28,
Vergunningverlener,50,25,Vergunningverlener,PersoonOrganisatie,2016-05-28,vergunningverlener
Inhoudelijke behandelaar,49,24,Inhoudelijke behandelaar,Persoon,2016-05-28,
Uitvoerend contactpersoon,48,23,Uitvoerend contactpersoon,Persoon,2016-05-28,
Beleidsmatig contactpersoon,47,22,Beleidsmatig contactpersoon,Persoon,2016-05-28,
Vruchtgebruiker,46,21,Vruchtgebruiker,PersoonOrganisatie,2016-05-28,
Stadsmeier,45,20,Stadsmeier,PersoonOrganisatie,2016-05-28,
Opstalhouder,44,19,Opstalhouder,PersoonOrganisatie,2016-05-28,
Huurcenter,43,17,Huurcenter,PersoonOrganisatie,2016-05-28,
Houder van het recht gebruik,42,16,Houder van het recht gebruik,PersoonOrganisatie,2016-05-28,
Houder van het recht van erfrecht,41,15,Houder van het recht van erfrecht,PersoonOrganisatie,2016-05-28,
Beklemmend meier,40,14,Beklemmend meier,PersoonOrganisatie,2016-05-28,
Eigenaar,4,4,Eigenaar,PersoonOrganisatie,2016-04-15,
Bloot eigenaar,39,13,Bloot eigenaar,PersoonOrganisatie,2016-05-28,
Rechtsverlener,38,12,Rechtsverlener,PersoonOrganisatie,2016-05-28,
Bezwaarder,37,11,Bezwaarder,Persoon,2016-05-28,
Beheerder,36,9,Beheerder,PersoonOrganisatie,2016-05-28,beheerder
Pachter,35,7,Pachter,PersoonOrganisatie,2016-05-28,
Ingezetene,34,6,Ingezetene,Persoon,2016-05-28,ingezetene
Hoofdbewoner,33,5,Hoofdbewoner,Persoon,2016-05-28,
Bewoner,32,3,Bewoner,Persoon,2016-05-28,bewoners
Vergunninghouder,31,2,Vergunninghouder,PersoonOrganisatie,2016-05-28,vergunninghouder
Aanvrager,30,1,Aanvrager,PersoonOrganisatie,2016-05-28,
Belanghebbende,3,40,Belanghebbende,PersoonOrganisatie,2016-04-15,belanghebbende
Laboratorium,29,61,Laboratorium,Organisatie,2016-04-15,
Uitvoerder,25,8,Uitvoerder,PersoonOrganisatie,2016-04-15,
Indiener zienswijze,24,58,Indiener zienswijze,PersoonOrganisatie,2016-04-15,
Aanvrager subsidie,23,57,Aanvrager subsidie,PersoonOrganisatie,2016-04-15,
Projectontwikkelaar,22,56,Projectontwikkelaar,Organisatie,2016-04-15,
(On)schuldig eigenaar,21,55,(On)schuldig eigenaar,PersoonOrganisatie,2016-04-15,
Initiatief Sanering,20,54,Initiatief Sanering,Organisatie,2016-04-15,
Waterschap,19,53,Waterschap,Organisatie,2016-04-15,waterschap
Voormalige eigenaar,18,52,Voormalige eigenaar,PersoonOrganisatie,2016-04-15,
Opdrachtgever,17,51,Opdrachtgever,PersoonOrganisatie,2016-04-15,opdrachtgever
BSB,16,50,BSB,PersoonOrganisatie,2016-04-15,
Veroorzaker,15,49,Veroorzaker,PersoonOrganisatie,2016-04-15,
Provincie,14,48,Provincie,Organisatie,2016-04-15,
Melder,13,10,Melder,PersoonOrganisatie,2016-04-15,melder
Locatie adres,12,47,Locatie adres,PersoonOrganisatie,2016-04-15,
Kadaster,11,46,Kadaster,Organisatie,2016-04-15,kadaster
Inspectie,10,45,Inspectie,PersoonOrganisatie,2016-04-15,inspectie
Aannemer,1,38,Aannemer,PersoonOrganisatie,2016-04-15,opdrachtnemer
