Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
beheerder,9,9,beheerder,9,2011-10-19,beheerder
uitvoerder,8,8,uitvoerder,8,2011-10-19,
pachter,7,7,pachter,7,2011-10-19,
ingezetene,6,6,ingezetene,6,2011-10-19,ingezetene
hoofdbewoner,5,5,hoofdbewoner,5,2011-10-19,
aanliggend eigenaar,41,41,aanliggend eigenaar,,2017-10-01,aanliggend eigenaar
onderhoudsplichtige buitengewoon onderhoud,40,40,onderhoudsplichtige buitengewoon onderhoud,,2017-10-01,
eigenaar,4,4,eigenaar,4,2011-10-19,
onderhoudsplichtige gewoon onderhoud,39,39,onderhoudsplichtige gewoon onderhoud,,2017-10-01,
onbekend,38,99,onbekend,99,2011-10-19,
pachter van deel,37,37,pachter van deel,37,2011-10-20,
huuder van een deel,36,36,huuder van een deel,36,2011-10-20,
houder van het recht van woning,35,35,houder van het recht van woning,35,2011-10-20,
eigenaar in beklemrechterlijke zin,34,34,eigenaar in beklemrechterlijke zin,34,2011-10-20,eigenaar in beklemrechterlijke zin
leidinggevende,33,33,leidinggevende,33,2011-10-20,
analist,32,32,analist,32,2011-10-20,
monsternemer,31,31,monsternemer,31,2011-10-20,
medewerker,30,30,medewerker,30,2011-10-20,medewerker
bewoner,3,3,bewoner,3,2011-10-19,
meetinstantie,29,29,meetinstantie,29,2011-10-20,
fiatteerder,28,28,fiatteerder,28,2011-10-20,
bedrijfsleider,27,27,bedrijfsleider,27,2011-10-19,
vergunningverkrijger,26,26,vergunningverkrijger,26,2011-10-19,
vergunningverlener,25,25,vergunningverlener,25,2011-10-19,vergunningverlener
inhoudelijke behandelaar,24,24,inhoudelijke behandelaar,24,2011-10-19,
uitvoerend contactpersoon,23,23,uitvoerend contactpersoon,23,2011-10-19,
beleidsmatig contactpersoon,22,22,beleidsmatig contactpersoon,22,2011-10-19,
vruchtgebruiker,21,21,vruchtgebruiker,21,2011-10-19,
stadsmeier,20,20,stadsmeier,20,2011-10-19,
vergunninghouder,2,2,vergunninghouder,2,2011-10-19,vergunninghouder
opstalhouder,19,19,opstalhouder,19,2011-10-19,
huurder,18,18,huurder,18,2011-10-19,
huurcenter,17,17,huurcenter,17,2011-10-19,
houder van het recht gebruik,16,16,houder van het recht gebruik,16,2011-10-19,
houder van het recht van erfrecht,15,15,houder van het recht van erfrecht,15,2011-10-19,
beklemmend meier,14,14,beklemmend meier,14,2011-10-19,
bloot eigenaar,13,13,bloot eigenaar,13,2011-10-19,
rechtsverlener,12,12,rechtsverlener,12,2011-10-19,
bezwaarder,11,11,bezwaarder,11,2011-10-19,
melder van een klacht of voorval,10,10,melder van een klacht of voorval,10,2011-10-19,
aanvrager,1,1,aanvrager,1,2011-10-19,
