Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Validatie op ionenbalans (NEN 6530),9,9,Validatie op ionenbalans (NEN 6530),,2016-12-10,
"Validatie op levendigheid (vivacity, liveliness)",8,8,"Validatie op levendigheid (vivacity, liveliness)",,2016-12-10,
Validatie op springerigheid (jumpiness),7,7,Validatie op springerigheid (jumpiness),,2016-12-10,
"Validatie op basis van controlemeting, vaste grenzen, springerigheid, trend",68,68,"Validatie op basis van controlemeting, vaste grenzen, springerigheid, trend",,2016-12-10,trendspringerigheid
"Validatie op basis van controlemeting, vaste grenzen,  levendigheid, trend",67,67,"Validatie op basis van controlemeting, vaste grenzen,  levendigheid, trend",,2016-12-10,trend
"Validatie op basis van controlemeting, vaste grenzen, levendigheid, springerigheid, trend",66,66,"Validatie op basis van controlemeting, vaste grenzen, levendigheid, springerigheid, trend",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, levendigheid, springerigheid",65,65,"Validatie op basis van controlemeting, vaste grenzen, levendigheid, springerigheid",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, levendigheid",64,64,"Validatie op basis van controlemeting, vaste grenzen, levendigheid",,2016-12-10,levendigheid
"Validatie op basis van controlemeting, vaste grenzen, springerigheid",63,63,"Validatie op basis van controlemeting, vaste grenzen, springerigheid",,2016-12-10,springerigheid
"Validatie op basis van controlemeting, uitbijters, springerigheid, trend",62,62,"Validatie op basis van controlemeting, uitbijters, springerigheid, trend",,2016-12-10,trendspringerigheid
"Validatie op basis van controlemeting, uitbijters, levendigheid, trend",61,61,"Validatie op basis van controlemeting, uitbijters, levendigheid, trend",,2016-12-10,levendigheidtrend
"Validatie op basis van controlemeting, uitbijters, levendigheid, springerigheid, trend",60,60,"Validatie op basis van controlemeting, uitbijters, levendigheid, springerigheid, trend",,2016-12-10,levendigheidtrendspringerigheid
Validatie op basis van correlatie tussen parameters,6,6,Validatie op basis van correlatie tussen parameters,,2016-12-10,
"Validatie op basis van controlemeting, uitbijters, levendigheid, springerigheid",59,59,"Validatie op basis van controlemeting, uitbijters, levendigheid, springerigheid",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van controlemeting, uitbijters, levendigheid",58,58,"Validatie op basis van controlemeting, uitbijters, levendigheid",,2016-12-10,levendigheid
"Validatie op basis van controlemeting, uitbijters, springerigheid",57,57,"Validatie op basis van controlemeting, uitbijters, springerigheid",,2016-12-10,springerigheid
"Validatie op basis van uitbijters, trend, correlatie meetlocaties",56,56,"Validatie op basis van uitbijters, trend, correlatie meetlocaties",,2016-12-10,trend
"Validatie op basis van uitbijters, springerigheid, trend, correlatie meetlocaties",55,55,"Validatie op basis van uitbijters, springerigheid, trend, correlatie meetlocaties",,2016-12-10,trendspringerigheid
"Validatie op basis van uitbijters, levendigheid trend, correlatie meetlocaties",54,54,"Validatie op basis van uitbijters, levendigheid trend, correlatie meetlocaties",,2016-12-10,
"Validatie op basis van uitbijters, levendigheid, springerigheid, trend, correlatie meetlocaties",53,53,"Validatie op basis van uitbijters, levendigheid, springerigheid, trend, correlatie meetlocaties",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van uitbijters, levendigheid, springerigheid, correlatie meetlocaties",52,52,"Validatie op basis van uitbijters, levendigheid, springerigheid, correlatie meetlocaties",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van uitbijters, levendigheid, correlatie meetlocaties",51,51,"Validatie op basis van uitbijters, levendigheid, correlatie meetlocaties",,2016-12-10,levendigheid
"Validatie op basis van uitbijters, springerigheid, correlatie meetlocaties",50,50,"Validatie op basis van uitbijters, springerigheid, correlatie meetlocaties",,2016-12-10,springerigheid
Validatie op basis van correlatie tussen meetlocaties,5,5,Validatie op basis van correlatie tussen meetlocaties,,2016-12-10,
"Validatie op trend, correlatie meetlocaties",49,49,"Validatie op trend, correlatie meetlocaties",,2016-12-10,
"Validatie op basis van uitbijters, trend",48,48,"Validatie op basis van uitbijters, trend",,2016-12-10,trend
"Validatie op basis van uitbijters, springerigheid, trend",47,47,"Validatie op basis van uitbijters, springerigheid, trend",,2016-12-10,trendspringerigheid
"Validatie op basis van uitbijters, levendigheid trend",46,46,"Validatie op basis van uitbijters, levendigheid trend",,2016-12-10,
"Validatie op basis van uitbijters, levendigheid, springerigheid, trend",45,45,"Validatie op basis van uitbijters, levendigheid, springerigheid, trend",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van uitbijters, levendigheid, springerigheid",44,44,"Validatie op basis van uitbijters, levendigheid, springerigheid",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van uitbijters, levendigheid",43,43,"Validatie op basis van uitbijters, levendigheid",,2016-12-10,levendigheid
"Validatie op basis van uitbijters, springerigheid",42,42,"Validatie op basis van uitbijters, springerigheid",,2016-12-10,springerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, trend, correlatie meetlocaties",41,41,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, trend, correlatie meetlocaties",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, correlaties meetlocaties",40,40,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, correlaties meetlocaties",,2016-12-10,levendigheidspringerigheid
Validatie op basis van uitbijters (3*stdev),4,4,Validatie op basis van uitbijters (3*stdev),,2016-12-10,
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, correlatie meetlocaties",39,39,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, correlatie meetlocaties",,2016-12-10,levendigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid, correlatie meetlocaties",38,38,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid, correlatie meetlocaties",,2016-12-10,springerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid, trend",37,37,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid, trend",,2016-12-10,trendspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, trend",36,36,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, trend",,2016-12-10,levendigheidtrend
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, trend",35,35,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid, trend",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid",34,34,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid, springerigheid",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid",33,33,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, levendigheid",,2016-12-10,levendigheid
"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid",32,32,"Validatie op basis van controlemeting, vaste grenzen, uitbijters, springerigheid",,2016-12-10,springerigheid
"Validatie op basis van controlemeting, vaste grenzen",31,31,"Validatie op basis van controlemeting, vaste grenzen",,2016-12-10,
"Validatie op basis van vaste grenzen, uitbijters, springerigheid, trend",30,30,"Validatie op basis van vaste grenzen, uitbijters, springerigheid, trend",,2016-12-10,trendspringerigheid
Validatie op zachte boven en ondergrens,3,3,Validatie op zachte boven en ondergrens,,2016-12-10,
"Validatie op basis van vaste grenzen, uitbijters, levendigheid trend",29,29,"Validatie op basis van vaste grenzen, uitbijters, levendigheid trend",,2016-12-10,
"Validatie op basis van vaste grenzen, uitbijters, levendigheid, springerigheid, trend",28,28,"Validatie op basis van vaste grenzen, uitbijters, levendigheid, springerigheid, trend",,2016-12-10,levendigheidtrendspringerigheid
"Validatie op basis van vaste grenzen, uitbijters, levendigheid, springerigheid",27,27,"Validatie op basis van vaste grenzen, uitbijters, levendigheid, springerigheid",,2016-12-10,levendigheidspringerigheid
"Validatie op basis van vaste grenzen, uitbijters, levendigheid",26,26,"Validatie op basis van vaste grenzen, uitbijters, levendigheid",,2016-12-10,levendigheid
"Validatie op basis van vaste grenzen, uitbijters, springerigheid",25,25,"Validatie op basis van vaste grenzen, uitbijters, springerigheid",,2016-12-10,springerigheid
"Validatie op basis van vaste grenzen, uitbijters",24,24,"Validatie op basis van vaste grenzen, uitbijters",,2016-12-10,
Validatie op basis van vaste grenzen,23,23,Validatie op basis van vaste grenzen,,2016-12-10,
"Validatie op basis van ionenbalans, vaste grenzen, correlatie tussen parameters en meetlocaties",22,22,"Validatie op basis van ionenbalans, vaste grenzen, correlatie tussen parameters en meetlocaties",,2016-12-10,
"Validatie op basis van ionenbalans, vaste grenzen en correlatie tussen parameters",21,21,"Validatie op basis van ionenbalans, vaste grenzen en correlatie tussen parameters",,2016-12-10,
"Validatie op basis van ionenbalans, vaste grenzen, uitbijters, rapportagegrens",20,20,"Validatie op basis van ionenbalans, vaste grenzen, uitbijters, rapportagegrens",,2016-12-10,rapportagegrens
Validatie op harde boven en ondergrens (onmogelijke waarde),2,2,Validatie op harde boven en ondergrens (onmogelijke waarde),,2016-12-10,
"Validatie op basis van ionenbalans, vaste grenzen en uitbijters",19,19,"Validatie op basis van ionenbalans, vaste grenzen en uitbijters",,2016-12-10,
Validatie op basis van ionenbalans en vaste grenzen,18,18,Validatie op basis van ionenbalans en vaste grenzen,,2016-12-10,
Validatie op basis van waterbalans,17,17,Validatie op basis van waterbalans,,2016-12-10,
Validatie op basis van controlemeting,16,16,Validatie op basis van controlemeting,,2016-12-10,
Validatie op trend (trendgedrag en trendbreuk),15,15,Validatie op trend (trendgedrag en trendbreuk),,2016-12-10,
Validatie op trendbreuk,14,14,Validatie op trendbreuk,,2016-12-10,
Validatie op trendgedrag,13,13,Validatie op trendgedrag,,2016-12-10,
Validatie verhoogde validatiegrens,12,12,Validatie verhoogde validatiegrens,,2016-12-10,
Validatie waarde lager dan rapportagegrens,11,11,Validatie waarde lager dan rapportagegrens,,2016-12-10,
Validatie waarde opgeloste parameter is lager dan totaal,10,10,Validatie waarde opgeloste parameter is lager dan totaal,,2016-12-10,
"Niet gevalideerd, voorlopige meetwaarde",1,1,"Niet gevalideerd, voorlopige meetwaarde",,2016-12-10,
Niet gevalideerd,0,0,Niet gevalideerd,,2016-12-10,
