Pagina,Id,Code,Omschrijving,Groep,Symbool,Begin geldigheid,Gerelateerd
Effluentleiding,99,el-,Effluentleiding,,,2016-01-28,effluentleiding
Drinkwaterleiding,98,dwl,Drinkwaterleiding,,,2016-01-28,drinkwaterleiding
Drijflaagafvoerleiding,97,dal,Drijflaagafvoerleiding,,,2016-01-28,drijflaagafvoerleiding
Chemicaliënleiding,96,cl-,Chemicaliënleiding,,,2016-01-28,chemicaliënleiding
Bronwaterleiding,95,bwl,Bronwaterleiding,,,2016-01-28,bronwaterleiding
Bedrijfswaterleiding,94,bdl,Bedrijfswaterleiding,,,2016-01-28,bedrijfswaterleiding
Aspiratieluchtleiding,93,all,Aspiratieluchtleiding,,,2016-01-28,aspiratieluchtleiding
Afgewerkte olieleiding,92,aol,Afgewerkte olieleiding,,,2016-01-28,afgewerkte olieleiding
Bedrijfswateraanvoerleiding,91,bal,Bedrijfswateraanvoerleiding,,,2016-01-28,bedrijfswateraanvoerleiding
Motorblokkoeler,90,mbk,Motorblokkoeler,,,2016-01-28,motorblokkoeler
Puntbeluchter,9,pb-,Puntbeluchter,,,2016-01-28,puntbeluchter
Uitlaatgaskoeler,89,ugk,Uitlaatgaskoeler,,,2016-01-28,uitlaatgaskoeler
Oliekoeler,88,olk,Oliekoeler,,,2016-01-28,oliekoeler
Interkoeler,87,itk,Interkoeler,,,2016-01-28,interkoeler
Rookgaskoeler,86,rgk,Rookgaskoeler,,,2016-01-28,rookgaskoeler
Kelder,85,k--,Kelder,,,2016-01-28,kelder
Primairslibkelder,84,psk,Primairslibkelder,,,2016-01-28,primairslibkelder
Surplusslibkelder,83,ssk,Surplusslibkelder,,,2016-01-28,surplusslibkelder
Recirculatiekelder,82,rck,Recirculatiekelder,,,2016-01-28,recirculatiekelder
Uitgegistslibkelder,81,usk,Uitgegistslibkelder,,,2016-01-28,uitgegistslibkelder
Voorbezonkenwaterkelder,80,vbk,Voorbezonkenwaterkelder,,,2016-01-28,voorbezonkenwaterkelder
Borstelbeluchter,8,bbr,Borstelbeluchter,,,2016-01-28,borstelbeluchter
Afvalwaterkelder,79,ntk,Afvalwaterkelder,,,2016-01-28,afvalwaterkelder
Terreinrioleringskelder,78,trk,Terreinrioleringskelder,,,2016-01-28,terreinrioleringskelder
Slibkelder,77,slk,Slibkelder,,,2016-01-28,slibkelder
Rioolwaterkelder,76,rwk,Rioolwaterkelder,,,2016-01-28,rioolwaterkelder
Retourslibkelder,75,rsk,Retourslibkelder,,,2016-01-28,retourslibkelder
Nutriëntenfilter,743,ntf,Nutriëntenfilter,,,2025-11-14,nutriëntenfilter
Proceswaterkelder,74,pwk,Proceswaterkelder,,,2016-01-28,proceswaterkelder
Percolaatwaterkelder,73,pck,Percolaatwaterkelder,,,2016-01-28,percolaatwaterkelder
Influentkelder,72,ik-,Influentkelder,,,2016-01-28,influentkelder
Effluentkelder,71,ek-,Effluentkelder,,,2016-01-28,effluentkelder
Bedrijfswaterkelder,70,bwk,Bedrijfswaterkelder,,,2016-01-28,bedrijfswaterkelder
Roerwerk,7,rw-,Roerwerk,,,2016-01-28,roerwerk
Pompenkelder,69,pk-,Pompenkelder,,,2016-01-28,pompenkelder
Tandwielkast,68,twk,Tandwielkast,,,2016-01-28,tandwielkast
Slibdesintegrator,67,sdi,Slibdesintegrator,,,2016-01-28,slibdesintegrator
Waspers,66,wps,Waspers,,,2016-01-28,waspers
Slibkraakinstallatie,65,ski,Slibkraakinstallatie,,,2016-01-28,slibkraakinstallatie
Desinfectie installatie,64,dii,Desinfectie installatie,,,2016-01-28,desinfecteerinstallatie
Luchtbehandelingsinstallatie,63,lbi,Luchtbehandelingsinstallatie,,,2016-01-28,luchtbehandelingsinstallatie
Koelinstallatie,62,ki-,Koelinstallatie,,,2016-01-28,koelinstallatie
Injecteur,61,inj,Injecteur,,,2016-01-28,injecteur
Schakelkast lichtverdeling of gewoon schakelkast,60,skl,Schakelkast lichtverdeling of gewoon schakelkast,,,2016-01-28,
Monsternameapparaat,6,ma-,Monsternameapparaat,,,2016-01-28,bemonsteringsapparaat
Schakelkast hoofdverdeling of gewoon schakelkast,59,skh,Schakelkast hoofdverdeling of gewoon schakelkast,,,2016-01-28,
Hydroaggregaat,58,hag,Hydroaggregaat,,,2016-01-28,hydroaggregaat
Trechter,57,tt-,Trechter,,,2016-01-28,trechter
Luchtdroger,56,ld-,Luchtdroger,,,2016-01-28,luchtdroger
Verwarmingsketel,55,vwk,Verwarmingsketel,,,2016-01-28,verwarmingsketel
Versnijder,54,vsn,Versnijder,,,2016-01-28,versnijder
Ventilator,53,ven,Ventilator,,,2016-01-28,ventilator
Transportband,52,trb,Transportband,,,2016-01-28,transportband
Sproeier,51,sp-,Sproeier,,,2016-01-28,sproeier
Slibdroogbedden,50,sdb,Slibdroogbedden,,,2016-01-28,
Afsluiter,5,a--,Afsluiter,,,2016-01-28,afsluiter
Roostergoedpers,49,rgp,Roostergoedpers,,,2016-01-28,roostergoedpers
Noodkoeler,48,nk-,Noodkoeler,,,2016-01-28,noodkoeler
Ozonvernietingingsinstallatie,475,ozv,Ozonvernietingingsinstallatie,,,2026-01-10,ozonvernietingingsinstallatie
Ozoninstallatie,474,ozi,Ozoninstallatie,,,2026-01-10,ozoninstallatie
Ozongenerator,473,ozn,Ozongenerator,,,2026-01-10,ozongenerator
