Pagina,Id,Code,Omschrijving,Groep,Afkorting,Begin geldigheid,Gerelateerd
dobbe,9,51,dobbe,watervlakten,51,2011-10-01,
dijksloot,8,7,dijksloot,waterlopen,7,2011-10-01,
boezemwater,7,6,boezemwater,waterlopen,6,2011-10-01,boezemwater
zee,61,71,zee,waterlopen,71,2011-10-01,zee
zandvang,60,70,zandvang,waterlopen,70,2011-10-01,zandvang
boezemspoorsloot,6,5,boezemspoorsloot,waterlopen,5,2011-10-01,
wiel,59,69,wiel,waterlopen,69,2011-10-01,kolk
wetering,58,38,wetering,waterlopen,38,2011-10-01,waterloop
wegsloot,57,37,wegsloot,waterlopen,37,2011-10-01,
weel,56,68,weel,waterlopen,68,2011-10-01,weel
watervoerende weg,55,36,watervoerende weg,waterlopen,36,2011-10-01,
waterloop (watergang),54,35,waterloop (watergang),waterlopen,35,2011-10-01,waterloop
waterleiding,53,34,waterleiding,waterlopen,34,2011-10-01,
voert,52,33,voert,waterlopen,33,2011-10-01,
vliet,51,32,vliet,waterlopen,32,2011-10-01,vliet
visvijver,50,67,visvijver,waterlopen,67,2011-10-01,
boezemsloot,5,4,boezemsloot,waterlopen,4,2011-10-01,
vijver,49,66,vijver,waterlopen,66,2011-10-01,vijver
ven,48,65,ven,waterlopen,65,2011-10-01,ven
vaart,47,31,vaart,waterlopen,31,2011-10-01,waterloop
vaarsloot,46,30,vaarsloot,waterlopen,30,2011-10-01,
uitmonding,45,29,uitmonding,waterlopen,29,2011-10-01,
toevoerleiding voor infiltratiewater,44,28,toevoerleiding voor infiltratiewater,waterlopen,28,2011-10-01,
tocht,43,27,tocht,waterlopen,27,2011-10-01,waterloop
tertiair boezemwater,42,26,tertiair boezemwater,waterlopen,26,2011-10-01,
te verlanden sloot,41,72,te verlanden sloot,waterlopen,72,2011-10-01,
stadsvijver,40,64,stadsvijver,waterlopen,64,2011-10-01,
boezemdijksloot,4,3,boezemdijksloot,waterlopen,3,2011-10-01,
spoorsloot,39,25,spoorsloot,waterlopen,25,2011-10-01,spoorsloot
spaarbekken,38,63,spaarbekken,watervlakten,63,2011-10-01,spaarbekken
sloot,37,24,sloot,waterlopen,24,2011-10-01,sloot
secundair boezemwater,36,23,secundair boezemwater,waterlopen,23,2011-10-01,
schouwsloot,35,22,schouwsloot,waterlopen,22,2011-10-01,schouwsloot
scheisloot,34,21,scheisloot,waterlopen,21,2011-10-01,
rivier,33,20,rivier,waterlopen,20,2011-10-01,rivier
primair boezemwater,32,19,primair boezemwater,waterlopen,19,2011-10-01,
polderwaterloop (polderwatergang),31,18,polderwaterloop (polderwatergang),waterlopen,18,2011-10-01,
polderwater,30,17,polderwater,waterlopen,17,2011-10-01,
bermsloot,3,1,bermsloot,waterlopen,1,2011-10-01,
poldersloot,29,16,poldersloot,waterlopen,16,2011-10-01,
poel,28,62,poel,watervlakten,62,2011-10-01,
plas,27,61,plas,watervlakten,61,2011-10-01,plas
pingo-ruine,26,60,pingo-ruine,watervlakten,60,2011-10-01,pingoruine
perceelsloot,25,15,perceelsloot,waterlopen,15,2011-10-01,
moeras,24,59,moeras,watervlakten,59,2011-10-01,wetland
meer,23,58,meer,watervlakten,58,2011-10-01,meer
leigraaf,22,14,leigraaf,waterlopen,14,2011-10-01,leigraaf
kweekvijver,21,57,kweekvijver,watervlakten,57,2011-10-01,
kreek,20,56,kreek,watervlakten,56,2011-10-01,kreek
bergingsvijver,2,50,bergingsvijver,watervlakten,50,2011-10-01,bergbezinkbassin
kavelsloot,19,13,kavelsloot,waterlopen,13,2011-10-01,
karreveld,18,55,karreveld,watervlakten,55,2011-10-01,inlaag
kanaal,17,12,kanaal,waterlopen,12,2011-10-01,kanaal
kadesloot,16,11,kadesloot,waterlopen,11,2011-10-01,
inlaag,15,54,inlaag,watervlakten,54,2011-10-01,inlaag
hoofdwaterloop,14,10,hoofdwaterloop,waterlopen,10,2011-10-01,
greppel,13,9,greppel,waterlopen,9,2011-10-01,greppel
gracht,12,8,gracht,waterlopen,8,2011-10-01,waterloop
duinrel,11,53,duinrel,watervlakten,53,2011-10-01,duinrel
duinmeer,10,52,duinmeer,watervlakten,52,2011-10-01,
beek,1,2,beek,waterlopen,2,2011-10-01,beek
