Pagina,Id,Code,Omschrijving,Groep,Afkorting,Begin geldigheid,Gerelateerd
oeveraantastingsplassen,99,69,oeveraantastingsplassen,"stagnante wateren, al dan niet gegraven",14030000,2011-10-07,
laagveenplassen,98,68,laagveenplassen,"stagnante wateren, al dan niet gegraven",14020000,2011-10-07,
afgesloten zeearmen,97,67,afgesloten zeearmen,"stagnante wateren, al dan niet gegraven",14010000,2011-10-07,
petgaten,96,66,petgaten,"stagnante wateren, al dan niet gegraven",15020000,2011-10-07,
kleigaten,95,65,kleigaten,"functionele wateren, gegraven",13000300,2011-10-07,
grindgaten,94,64,grindgaten,"stagnante wateren, al dan niet gegraven",13000400,2011-10-07,
zandgaten,93,63,zandgaten,"stagnante wateren, al dan niet gegraven",13000100,2011-10-07,
wielen,92,62,wielen,"stagnante wateren, al dan niet gegraven",15010000,2011-10-07,
"open, oude rivierarmen",91,61,"open, oude rivierarmen","stagnante wateren, al dan niet gegraven",12020000,2011-10-07,
"afgesloten, oude rivierarmen",90,60,"afgesloten, oude rivierarmen","stagnante wateren, al dan niet gegraven",12010000,2011-10-07,
snelstromende zandbeken,9,9,snelstromende zandbeken,wateren van het rivierenstelsel,2040000,2011-10-07,
overige duinmeren,89,59,overige duinmeren,"stagnante wateren, al dan niet gegraven",11990000,2011-10-07,
grondwatermeren,88,58,grondwatermeren,"stagnante wateren, al dan niet gegraven",11020000,2011-10-07,
regenwatermeren,87,57,regenwatermeren,"stagnante wateren, al dan niet gegraven",11010000,2011-10-07,
overige vennen,86,55,overige vennen,"stagnante wateren, al dan niet gegraven",10990000,2011-10-07,
pingo-ruines,85,54,pingo-ruines,"stagnante wateren, al dan niet gegraven",10030000,2011-10-07,pingoruine
ringvennen,84,53,ringvennen,"stagnante wateren, al dan niet gegraven",10020000,2011-10-07,
hoogveenvennen,83,52,hoogveenvennen,"stagnante wateren, al dan niet gegraven",10010000,2011-10-07,
mesostrofe vennen,82,51,mesostrofe vennen,"stagnante wateren, al dan niet gegraven",10000006,2011-10-07,
dystrofe vennen,81,50,dystrofe vennen,"stagnante wateren, al dan niet gegraven",10000005,2011-10-07,
voedselarme (oligotrofe) vennen,80,49,voedselarme (oligotrofe) vennen,"stagnante wateren, al dan niet gegraven",10000007,2011-10-07,
geultype beken,8,8,geultype beken,wateren van het rivierenstelsel,2030000,2011-10-07,
overige havens,79,48,overige havens,"functionele wateren, gegraven",8990000,2011-10-07,
jachthavens,78,47,jachthavens,"functionele wateren, gegraven",8020000,2011-10-07,jachthaven
zeehavens,77,46,zeehavens,"functionele wateren, gegraven",8010000,2011-10-07,zeehaven
overige kanalen,76,45,overige kanalen,"functionele wateren, gegraven",7990000,2011-10-07,
boezem- en polderkanalen,75,44,boezem- en polderkanalen,"functionele wateren, gegraven",7020000,2011-10-07,
scheepvaartkanalen,74,43,scheepvaartkanalen,"functionele wateren, gegraven",7010000,2011-10-07,
overige weteringen en vaarten,73,42,overige weteringen en vaarten,"functionele wateren, gegraven",6990000,2011-10-07,
droogvallende wateren,72,40,droogvallende wateren,"functionele wateren, gegraven",6010000,2011-10-07,
kleivaarten,71,37,kleivaarten,"functionele wateren, gegraven",6000300,2011-10-07,
veenvaarten,70,36,veenvaarten,"functionele wateren, gegraven",6000200,2011-10-07,
bergbeken,7,7,bergbeken,wateren van het rivierenstelsel,2020000,2011-10-07,
zandvaarten,69,35,zandvaarten,"functionele wateren, gegraven",6000100,2011-10-07,
overige sloten,68,34,overige sloten,"functionele wateren, gegraven",5990000,2011-10-07,
kleisloten,67,31,kleisloten,"functionele wateren, gegraven",5000300,2011-10-07,
veensloten,66,30,veensloten,"functionele wateren, gegraven",5000200,2011-10-07,
zandsloten,65,29,zandsloten,"functionele wateren, gegraven",5000100,2011-10-07,
overige stadswateren,64,28,overige stadswateren,"functionele wateren, gegraven",4990000,2011-10-07,
sierwateren,63,27,sierwateren,"functionele wateren, gegraven",4020000,2011-10-07,
grachten,62,26,grachten,"functionele wateren, gegraven",4010000,2011-10-07,waterloop
drinkpoelen,61,25,drinkpoelen,"functionele wateren, gegraven",9000000,2011-10-07,
grote rivieren,60,24,grote rivieren,wateren van het rivierenstelsel,3020000,2011-10-07,
bronbeken,6,6,bronbeken,wateren van het rivierenstelsel,2010000,2011-10-07,
kleine rivieren,59,20,kleine rivieren,wateren van het rivierenstelsel,3010000,2011-10-07,
overige beektypes,58,16,overige beektypes,wateren van het rivierenstelsel,2990000,2011-10-07,
genormaliseerde beken,57,15,genormaliseerde beken,wateren van het rivierenstelsel,2170000,2011-10-07,
overige brakke en zoute wateren,56,141,overige brakke en zoute wateren,"stagnante wateren, al dan niet gegraven",16990000,2011-10-07,
"binnendijkse, zeer brakken wateren",55,140,"binnendijkse, zeer brakken wateren","stagnante wateren, al dan niet gegraven",16090004,2011-10-07,
sprengenbeken,54,14,sprengenbeken,wateren van het rivierenstelsel,2160000,2011-10-07,spreng
"binnendijkse, brakke wateren",53,139,"binnendijkse, brakke wateren","stagnante wateren, al dan niet gegraven",16090003,2011-10-07,
"binnendijkse, licht brakke wateren",52,138,"binnendijkse, licht brakke wateren","stagnante wateren, al dan niet gegraven",16090002,2011-10-07,
"binnendijkse, zeer licht brakke tot zoete wateren",51,137,"binnendijkse, zeer licht brakke tot zoete wateren","stagnante wateren, al dan niet gegraven",16090001,2011-10-07,
