Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
"vergunning tot lozing, onttrekking, afvoer, aanvoer",9,13,"vergunning tot lozing, onttrekking, afvoer, aanvoer",2011-12-06,afvoeronttrekking
peilafwijking,8,12,peilafwijking,2011-12-06,peilafwijking
peilbesluit,7,11,peilbesluit,2011-12-06,peilbesluit
waterakkoord,6,10,waterakkoord,2011-12-06,waterakkoord
keurzone,5,7,keurzone,2011-12-06,keurzone
meld- en registratieplicht,4,4,meld- en registratieplicht,2013-08-15,
ontvangstplicht,3,3,ontvangstplicht,2011-12-15,ontvangstplicht
provinciale verordening water,22,44,provinciale verordening water,2021-10-20,
waterwet,21,43,waterwet,2021-10-20,waterwet
ontheffing verkeersbesluit,20,42,ontheffing verkeersbesluit,2011-12-06,
keurontheffing,2,2,keurontheffing,2011-12-06,keurontheffing
verkeersbesluit,19,41,verkeersbesluit,2011-12-06,
meetbeschikking heffing,18,36,meetbeschikking heffing,2011-12-06,meetbeschikking heffing
ministerieel besluit op grond van WVO,17,35,ministerieel besluit op grond van WVO,2011-12-06,
AMvB op grond van WVO,16,34,AMvB op grond van WVO,2011-12-06,
gemeentelijke lozingsverordening,15,33,gemeentelijke lozingsverordening,2011-12-06,
alg regelgeving krachtens de WVO ter regulering van lozingen,14,32,alg regelgeving krachtens de WVO ter regulering van lozingen,2011-12-06,
vergunning krachtens de WVO,13,31,vergunning krachtens de WVO,2011-12-06,
beheersovereenkomst,12,22,beheersovereenkomst,2011-12-06,
gebruiksovereenkomst,11,21,gebruiksovereenkomst,2011-12-06,
zakelijk recht,10,20,zakelijk recht,2011-12-06,
onderhoudsplicht,1,1,onderhoudsplicht,2011-12-15,onderhoudsplicht
