Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Drijflijn,9,16,Drijflijn,VEILIGHEID,2012-09-04,
Douches,8,20,Douches,HYGIENE,2012-09-04,
Doorzicht,7,15,Doorzicht,VEILIGHEID,2012-09-04,doorzicht
Diepte zwemlocatie,6,14,Diepte zwemlocatie,VEILIGHEID,2012-09-04,
Blauwe vlag,5,1,Blauwe vlag,ONBEPERKT,2012-09-04,blauwe vlag
Zwemzone afgebakend,43,18,Zwemzone afgebakend,VEILIGHEID,2012-09-04,
Zout water,42,41,Zout water,GENERIEK,2012-09-04,zout water
Zoet water,41,42,Zoet water,GENERIEK,2012-09-04,zoet water
Zandstrand,40,31,Zandstrand,RECREATIE,2012-09-04,
Bereikbaar met OV,4,32,Bereikbaar met OV,GENERIEK,2012-09-04,
Waterglijbaan,39,43,Waterglijbaan,RECREATIE,2012-11-08,
WC / Toiletten,38,21,WC / Toiletten,HYGIENE,2012-09-04,
Voorzieningen voor invaliden,37,40,Voorzieningen voor invaliden,GENERIEK,2012-09-04,
Uitkijkpost,36,5,Uitkijkpost,ONBEPERKT,2012-09-04,
Trailerhelling,35,8,Trailerhelling,ONBEPERKT,2012-09-04,
Toezicht categorie D,34,36,Toezicht categorie D,VEILIGHEID,2012-09-04,
Toezicht categorie C,33,4,Toezicht categorie C,ONBEPERKT,2012-09-04,
Toegankelijk voor invaliden,32,39,Toegankelijk voor invaliden,GENERIEK,2012-09-04,
Teken aanwezig,31,9,Teken aanwezig,ONBEPERKT,2012-09-04,
Surf mogelijkheden,30,33,Surf mogelijkheden,RECREATIE,2012-09-04,
Afvalbakken,3,19,Afvalbakken,HYGIENE,2012-09-04,
Strandrolstoel,29,38,Strandrolstoel,GENERIEK,2012-09-04,
Strandhuis,28,30,Strandhuis,RECREATIE,2012-09-04,
Speelweide,27,29,Speelweide,RECREATIE,2012-09-04,
Speeltoestellen,26,28,Speeltoestellen,RECREATIE,2012-09-04,
Reddingsbrigade,25,3,Reddingsbrigade,ONBEPERKT,2012-09-04,
Parkeergelegenheid,24,11,Parkeergelegenheid,ONBEPERKT,2012-09-04,
Naaktstrand,23,27,Naaktstrand,RECREATIE,2012-09-04,
Ligweide,22,26,Ligweide,RECREATIE,2012-09-04,
Kleedruimte,21,25,Kleedruimte,RECREATIE,2012-09-04,kleedruimte
Kitesurf mogelijkheden,20,24,Kitesurf mogelijkheden,RECREATIE,2012-09-04,
Aflopende bodem,2,13,Aflopende bodem,VEILIGHEID,2012-09-04,
Jetski mogelijkheden,19,23,Jetski mogelijkheden,RECREATIE,2012-09-04,
Infobord,18,37,Infobord,GENERIEK,2012-09-04,
Horeca,17,7,Horeca,ONBEPERKT,2012-09-04,
Honden toegestaan,16,10,Honden toegestaan,ONBEPERKT,2012-09-04,
Grootte,15,35,Grootte,GENERIEK,2012-09-04,
Getijdewater,14,17,Getijdewater,VEILIGHEID,2012-09-04,
Fietsenstalling,13,34,Fietsenstalling,GENERIEK,2012-09-04,
Entreeheffing,12,6,Entreeheffing,ONBEPERKT,2012-09-04,
EHBO,11,2,EHBO,ONBEPERKT,2012-09-04,
Duiktoren,10,22,Duiktoren,RECREATIE,2012-09-04,
Afdrijvingsgevaar,1,12,Afdrijvingsgevaar,VEILIGHEID,2012-09-04,
