Pagina,Id,Code,Omschrijving,Groep,Opgericht_in,Opgeheven_per,Namespace,Begin geldigheid,Gerelateerd
Waterschap Rivierenland,9,09,Waterschap Rivierenland,Waterschap,,,NL09,2011-10-01,
meerdere waterbeheerders,85,99,meerdere waterbeheerders,Overig,,,NL99,2011-10-01,
Duitsland,84,98,Duitsland,Overig,,,NL98,2011-10-01,
België,83,97,België,Overig,,,NL97,2011-10-01,
Rijkswaterstaat Dienst Noordzee,82,95,Rijkswaterstaat Dienst Noordzee,Rijkswaterstaat,,31-03-13,NL95,2015-08-13,
Rijkswaterstaat Dienst Zuid-Holland,81,94,Rijkswaterstaat Dienst Zuid-Holland,Rijkswaterstaat,,31-03-13,NL94,2015-08-13,
Rijkswaterstaat Dienst Oost-Nederland,80,93,Rijkswaterstaat Dienst Oost-Nederland,Rijkswaterstaat,1995-01-01T00:00:00,31-03-13,NL93,2015-08-13,
Waterschap Veluwe,8,08,Waterschap Veluwe,Waterschap,,2012/12/31,NL08,2013-11-28,
Rijkswaterstaat Dienst IJsselmeergebied,79,92,Rijkswaterstaat Dienst IJsselmeergebied,Rijkswaterstaat,,31-03-13,NL92,2015-08-13,
Rijkswaterstaat Dienst Limburg,78,91,Rijkswaterstaat Dienst Limburg,Rijkswaterstaat,,31-03-13,NL91,2015-08-13,
Rijkswaterstaat Dienst Noord-Brabant,77,90,Rijkswaterstaat Dienst Noord-Brabant,Rijkswaterstaat,,31-03-13,NL90,2015-08-13,
Rijkswaterstaat Dienst Zeeland,76,89,Rijkswaterstaat Dienst Zeeland,Rijkswaterstaat,,31-03-13,NL89,2015-08-13,
voormalige code van regionale directie RWS ?,75,88,voormalige code van regionale directie RWS ?,Rijkswaterstaat,,08-06-17,NL88,2017-06-08,
Rijkswaterstaat Dienst Noord-Holland,74,87,Rijkswaterstaat Dienst Noord-Holland,Rijkswaterstaat,,31-03-13,NL87,2015-08-13,
Rijkswaterstaat Dienst Utrecht,73,86,Rijkswaterstaat Dienst Utrecht,Rijkswaterstaat,,31-03-13,NL86,2015-08-13,
RWS Gelderland,72,85,RWS Gelderland,Rijkswaterstaat,,31-12-94,NL85,2011-10-01,
RWS Overijssel,71,84,RWS Overijssel,Rijkswaterstaat,,31-12-94,NL84,2011-10-01,
RWS Drenthe,70,83,RWS Drenthe,Rijkswaterstaat,,31-12-94,NL83,2011-10-01,
Waterschap Rijn en IJssel,7,07,Waterschap Rijn en IJssel,Waterschap,,,NL07,2011-10-01,
RWS Friesland,69,82,RWS Friesland,Rijkswaterstaat,,31-12-94,NL82,2011-10-01,
Rijkswaterstaat Dienst Noord-Nederland,68,81,Rijkswaterstaat Dienst Noord-Nederland,Rijkswaterstaat,1995-01-01,31-03-13,NL81,2015-08-13,
Rijkswaterstaat,67,80,Rijkswaterstaat,Rijkswaterstaat,,,NL80,2011-10-01,rijkswaterstaat
Provincie Limburg,66,72,Provincie Limburg,Provincie,,,NL72,2011-10-01,
Provincie Noord-Brabant,65,71,Provincie Noord-Brabant,Provincie,,,NL71,2011-10-01,
Provincie Zeeland,64,70,Provincie Zeeland,Provincie,,,NL70,2011-10-01,
Provincie Zuid-Holland,63,69,Provincie Zuid-Holland,Provincie,,,NL69,2011-10-01,
Provincie Gelderland,62,68,Provincie Gelderland,Provincie,,,NL68,2011-10-01,
Provincie Utrecht,61,67,Provincie Utrecht,Provincie,,,NL67,2011-10-01,
Provincie Overijssel,60,66,Provincie Overijssel,Provincie,,,NL66,2011-10-01,
Heemraadschap Fleverwaard,6,06,Heemraadschap Fleverwaard,Waterschap,,1999/12/31,NL06,2011-10-01,
Provincie Noord-Holland,59,65,Provincie Noord-Holland,Provincie,,,NL65,2011-10-01,
Provincie Flevoland,58,64,Provincie Flevoland,Provincie,1986-01-01,,NL64,2011-10-01,
Provincie Drenthe,57,63,Provincie Drenthe,Provincie,,,NL63,2011-10-01,
Provincie Fryslân,56,62,Provincie Fryslân,Provincie,,,NL62,2011-10-26,
Provincie Groningen,55,61,Provincie Groningen,Provincie,,,NL61,2011-10-01,
Waterschap Limburg,54,60,Waterschap Limburg,Waterschap,2017-01-01,,NL60,2016-04-09,
